,Subfield,Gene,Group,meandiff,p-adj,sig
70,DG,Gria2,conflict.yoked.VS.standard.yoked,0.0714,0.9712, 
71,DG,Pick1,conflict.yoked.VS.standard.yoked,0.2624,0.7574, 
72,DG,Nsf,conflict.yoked.VS.standard.yoked,0.0827,0.9102, 
73,DG,Numb,conflict.yoked.VS.standard.yoked,-0.3202,0.3687, 
74,DG,Fmr1,conflict.yoked.VS.standard.yoked,0.2468,0.6456, 
75,DG,Camk2a,conflict.yoked.VS.standard.yoked,0.1685,0.9059, 
76,DG,Wwc1,conflict.yoked.VS.standard.yoked,0.2274,0.2967, 
77,DG,Prkcb,conflict.yoked.VS.standard.yoked,-0.2231,0.9712, 
78,DG,Prkcz,conflict.yoked.VS.standard.yoked,-0.0304,0.9944, 
79,DG,Prkci,conflict.yoked.VS.standard.yoked,0.1053,0.9722, 
80,DG,Fos,standard.trained.VS.standard.yoked,-2.5907,0.0086,**
81,DG,Fosl2,standard.trained.VS.standard.yoked,-2.648,0.0017,**
82,DG,Npas4,standard.trained.VS.standard.yoked,-3.3647,0.0014,**
83,DG,Arc,standard.trained.VS.standard.yoked,-3.0735,0.0018,**
84,DG,Grin1,standard.trained.VS.standard.yoked,0.0038,0.9999, 
85,DG,Gria1,standard.trained.VS.standard.yoked,0.1302,0.5675, 
86,DG,Gria2,standard.trained.VS.standard.yoked,0.183,0.6907, 
87,DG,Pick1,standard.trained.VS.standard.yoked,0.1497,0.94, 
88,DG,Nsf,standard.trained.VS.standard.yoked,0.1485,0.6502, 
89,DG,Numb,standard.trained.VS.standard.yoked,-0.1452,0.864, 
90,DG,Fmr1,standard.trained.VS.standard.yoked,-0.2523,0.6304, 
91,DG,Camk2a,standard.trained.VS.standard.yoked,0.1563,0.9227, 
92,DG,Wwc1,standard.trained.VS.standard.yoked,-0.1303,0.7118, 
93,DG,Prkcb,standard.trained.VS.standard.yoked,0.4097,0.8543, 
94,DG,Prkcz,standard.trained.VS.standard.yoked,0.0732,0.9311, 
95,DG,Prkci,standard.trained.VS.standard.yoked,0.045,0.9977, 
96,CA3,Fos,conflict.trained.VS.conflict.yoked,0.4275,0.9487, 
97,CA3,Fosl2,conflict.trained.VS.conflict.yoked,-0.0914,0.9961, 
