,ID,treatment,trialNum,PC1,PC2
0,15147D,standard.yoked,9,-4.704406158708015,-3.3147433114865694
1,15145D,standard.yoked,9,-4.32172625579113,-3.018659117906016
2,15141D,standard.yoked,9,-3.846340359684078,-1.316634968152805
3,15148D,conflict.yoked,9,-3.7639769176899,-2.299568462402689
4,15144D,standard.yoked,9,-3.633647524992593,1.2815988902349909
5,15143B,conflict.yoked,9,-3.1568874879156996,3.4255368573809455
6,15148B,conflict.yoked,9,-2.96434260303454,-1.2985145169205883
7,15143D,standard.yoked,9,-2.955181945589225,1.0408806373980195
8,15146D,standard.yoked,9,-2.768613835017287,-2.1616130151346944
9,15144B,conflict.yoked,9,-2.6890248488841495,1.0553388211898642
10,15146B,conflict.yoked,9,-2.5027546236451803,-0.7702500445548067
11,15148C,conflict.trained,9,-2.335049714465424,0.3397315322929436
12,15142D,standard.yoked,9,-2.270223204467141,3.8400613935865433
13,15145B,conflict.yoked,9,-2.2304959420573582,-0.6247062894188558
14,15140D,standard.yoked,9,-2.006527896142285,-0.7177267462220245
15,15143A,conflict.trained,9,-1.507895705812872,-2.1778174875538214
16,15147B,conflict.yoked,9,-1.2193528683401962,-0.15682377366223327
17,15141C,standard.trained,9,-0.7957379112680227,-0.2507542012363793
18,15140B,conflict.yoked,9,-0.5682520525528706,2.8041786674559623
19,15145C,standard.trained,9,-0.4198074680664319,0.8878357458562909
20,15148A,conflict.trained,9,-0.31433030376678,1.1335947971870155
21,15142B,conflict.yoked,9,-0.1783160097037252,2.1590138253379156
22,15147A,conflict.trained,9,0.2746976685427629,3.6945256792107823
23,15140A,conflict.trained,9,1.875945313511982,2.3311800500838413
24,15142A,conflict.trained,9,1.8761817902058313,-0.5274309471675214
25,15146C,standard.trained,9,3.7852673190930095,1.2468785166716398
26,15143C,standard.trained,9,4.7517682880164145,-1.577662007218957
27,15147C,standard.trained,9,4.759260490274979,0.14318383940270457
28,15140C,standard.trained,9,5.06944316149401,-0.882745877370206
29,15142C,standard.trained,9,5.124980598884782,0.7557816711463776
30,15144A,conflict.trained,9,5.471025734769166,-1.2432012116892954
31,15145A,conflict.trained,9,5.739111504679805,-2.240433164593457
32,15146A,conflict.trained,9,5.744988888424328,-1.4474396496452335
33,15144C,standard.trained,9,6.680220879697835,-0.1125961320996888
