R,G,B,hex_val,hls_val,gene
0.0,0.09317,0.65142,#0018a6,#001dcc,Htr5b
1.0,0.0,0.0,#ff0000,#ff0000,Ier3
1.0,0.0,0.0,#ff0000,#ff0000,Ifrd1
0.0,0.19742800000000005,0.11457600000000003,#00321d,#00cc76,Igf2r
0.0,0.001,0.0,#000000,#00cc00,Ighv5-17
0.0,0.143453,0.66143,#0025a9,#002ccc,Ikbip
0.0,0.05055900000000005,0.013908000000000012,#000d04,#00cc38,Ikzf1
0.0,0.302358,0.336162,#004d56,#00b7cc,Il16
0.0,0.027187000000000024,0.008370000000000008,#000702,#00cc3f,Il34
0.0,0.23772800000000005,0.08420800000000002,#003d15,#00cc48,Il3ra
0.0,0.0,0.0,#000000,#666666,Ildr1
0.306552,0.011568,0.514776,#4e0383,#7704c8,Ilvbl
0.0,0.040964,0.7156159999999999,#000ab6,#000ccc,Impg2
1.0,0.0,0.0,#ff0000,#ff0000,Ing2
1.0,0.0,0.0,#ff0000,#ff0000,Ipmk
0.0,0.124416,0.022144,#002006,#00cc24,Iqcg
0.0,0.04042,0.72154,#000ab8,#000bcc,Iqub
0.0,0.041376,0.721494,#000bb8,#000ccc,Irf9
1.0,0.0,0.0,#ff0000,#ff0000,Irs1
1.0,0.0,0.0,#ff0000,#ff0000,Irs2
0.009338999999999998,0.036507,0.7021229999999999,#0209b3,#030ac9,Iscu
0.0,0.069608,0.715064,#0012b6,#0014cc,Itga7
0.0,0.125796,0.023628,#002006,#00cc26,Itgam
0.0,0.197296,0.49453800000000003,#00327e,#0051cc,Itgb7
0.0,0.041971000000000036,0.011938000000000011,#000b03,#00cc3a,Jade3
0.0,0.125259,0.022188,#002006,#00cc24,Jag1
0.0,0.29175599999999996,0.21402,#004a37,#00cc96,Jdp2
0.955266,0.010922999999999999,0.006951,#f40302,#f40302,Jmjd1c
1.0,0.0,0.0,#ff0000,#ff0000,Jun
1.0,0.0,0.0,#ff0000,#ff0000,Junb
1.0,0.0,0.0,#ff0000,#ff0000,Jund
0.0,0.09317,0.65142,#0018a6,#001dcc,K230010J24Rik
0.0,0.101568,0.699936,#001ab2,#001ecc,Katnal1
0.0,0.12064000000000001,0.715488,#001fb6,#0022cc,Kazn
0.8977139999999999,0.053424,0.022896,#e50e06,#e50e06,Kcna4
0.0,0.129176,0.022914000000000004,#002106,#00cc24,Kcnj2
0.0005070000000000004,0.03389100000000003,0.01029600000000001,#000903,#03c93d,Kcnma1
1.0,0.0,0.0,#ff0000,#ff0000,Kctd12
0.0,0.26896000000000003,0.12956,#004521,#00cc62,Kctd6
0.0,0.11083399999999999,0.643718,#001ca4,#0023cc,Kctd8
1.0,0.0,0.0,#ff0000,#ff0000,Kdm6b
0.0,0.25116799999999995,0.10855,#00401c,#00cc58,Keap1
0.0,0.060349999999999994,0.6935999999999999,#000fb1,#0012cc,Khdrbs2
0.0,0.279279,0.367164,#00475e,#009bcc,Klf16
1.0,0.0,0.0,#ff0000,#ff0000,Klf2
0.0,0.13276500000000005,0.04676000000000002,#00220c,#00cc48,Klf8
0.0,0.22208399999999998,0.392229,#003964,#0074cc,Klhdc2
1.0,0.0,0.0,#ff0000,#ff0000,Klhl21
0.0,0.06551999999999995,0.017207999999999987,#001104,#00cc36,Klhl26
1.0,0.0,0.0,#ff0000,#ff0000,Knop1
0.0,0.06482299999999996,0.01703999999999999,#001104,#00cc36,Krba1
0.0,0.048279,0.687764,#000caf,#000ecc,Krcc1
1.0,0.0,0.0,#ff0000,#ff0000,L3hypdh
0.0,0.035875000000000004,0.721,#0009b8,#000acc,Lat
1.0,0.0,0.0,#ff0000,#ff0000,Lats1
1.0,0.0,0.0,#ff0000,#ff0000,Lbh
0.0,0.121752,0.631544,#001fa1,#0027cc,Lgals1
0.0,0.28056600000000004,0.185757,#00482f,#00cc87,Lgmn
0.0,0.029007000000000026,0.008844000000000008,#000702,#00cc3e,Lif
0.0,0.066666,0.6666599999999999,#0011aa,#0014cc,Lin7c
0.24167799999999998,0.20274999999999999,0.321967,#3e3452,#5e4f7d,Lmo7
1.0,0.0,0.0,#ff0000,#ff0000,Lonrf1
0.827944,0.020748000000000003,0.08299200000000001,#d30515,#d30515,Lrrc10b
1.0,0.0,0.0,#ff0000,#ff0000,Lrrc48
0.0,0.0258,0.7051999999999999,#0007b4,#0007cc,Lsm7
0.0,0.126677,0.02227,#002006,#00cc24,Lyrm2
0.0,0.12584,0.022230000000000003,#002006,#00cc24,Lysmd3
0.0,0.24423999999999996,0.46363,#003e76,#006bcc,Lysmd4
0.0,0.0,0.0,#000000,#666666,M1ap
0.0,0.045747000000000045,0.012750000000000011,#000c03,#00cc39,Malsu1
0.0,0.03175200000000003,0.009540000000000009,#000802,#00cc3d,Maml2
0.0,0.120032,0.021948,#001f06,#00cc25,Mamld1
0.0,0.1261,0.022230000000000003,#002006,#00cc24,Mapkapk2
1.0,0.0,0.0,#ff0000,#ff0000,Mapre1
1.0,0.0,0.0,#ff0000,#ff0000,March11
1.0,0.0,0.0,#ff0000,#ff0000,Mcl1
0.0,0.13507200000000003,0.046536000000000015,#00220c,#00cc46,Mea1
1.0,0.0,0.0,#ff0000,#ff0000,Mest
0.0,0.125259,0.022188,#002006,#00cc24,Mettl7a1
0.0,0.012795000000000011,0.004410000000000003,#000301,#00cc46,Mfap1a
0.0,0.136279,0.023166000000000003,#002306,#00cc23,Mfap3l
0.0,0.06839200000000001,0.674856,#0011ac,#0015cc,Mgst3
1.0,0.0,0.0,#ff0000,#ff0000,Minpp1
1.0,0.0,0.0,#ff0000,#ff0000,Mis12
0.0,0.106216,0.638077,#001ba3,#0022cc,Mkks
0.0,0.0,0.001,#000000,#0000cc,Mmp12
0.0,0.13656500000000002,0.022880000000000005,#002306,#00cc22,Mn1
0.0,0.26555700000000004,0.419594,#00446b,#0081cc,Mobp
0.0,0.026280000000000022,0.008130000000000007,#000702,#00cc3f,Mrpl42
1.0,0.0,0.0,#ff0000,#ff0000,Mrps16
0.28451200000000004,0.19692800000000002,0.130016,#493221,#8c6140,Mrps23
0.0,0.21221099999999998,0.11854099999999998,#00361e,#00cc72,Mrps26
0.08499399999999999,0.014009999999999998,0.71451,#1604b6,#1804c8,Msmo1
0.7394459999999999,0.026514,0.130606,#bd0721,#c50723,Mtch2
0.0,0.105768,0.02223,#001b06,#00cc2b,Mtrf1
0.0,0.13384000000000001,0.022820000000000003,#002206,#00cc23,Myd88
0.0024240000000000004,0.27270000000000005,0.13251200000000002,#014622,#02ca62,Myeov2
0.0,0.10622699999999999,0.021089999999999998,#001b05,#00cc29,Myl12b
0.0,0.21992900000000004,0.08901200000000001,#003817,#00cc53,Myom1
0.0,0.041111,0.72154,#000ab8,#000ccc,Naa30
0.042483,0.049419000000000005,0.666723,#0b0daa,#0c0ec0,Nab2
0.0,0.100912,0.049640000000000004,#001a0d,#00cc64,Naf1
1.0,0.0,0.0,#ff0000,#ff0000,Nap1l5
1.0,0.0,0.0,#ff0000,#ff0000,Ndnl2
1.0,0.0,0.0,#ff0000,#ff0000,Ndufs4
0.008118,0.204918,0.04797,#02340c,#08c42e,Ndufs5
0.759525,0.03315,0.117975,#c2081e,#c3091e,Ndufv1
0.17248000000000002,0.26768000000000003,0.13496,#2c4422,#578844,Necap1
0.0,0.032718,0.715491,#0008b6,#0009cc,Neurl4
1.0,0.0,0.0,#ff0000,#ff0000,Neurod2
1.0,0.0,0.0,#ff0000,#ff0000,Nexn
0.0,0.155472,0.566128,#002890,#0038cc,Nfam1
0.003344,0.14364000000000002,0.023560000000000005,#012506,#05c721,Nfil3
0.978,0.0,0.009,#f90002,#f90002,Ngrn
1.0,0.0,0.0,#ff0000,#ff0000,Nkrf
1.0,0.0,0.0,#ff0000,#ff0000,Nkx2-2
1.0,0.0,0.0,#ff0000,#ff0000,Npas4
0.0,0.12584,0.022230000000000003,#002006,#00cc24,Nppa
1.0,0.0,0.0,#ff0000,#ff0000,Nptx2
0.0,0.09985499999999999,0.020579999999999998,#001905,#00cc2a,Npy1r
1.0,0.0,0.0,#ff0000,#ff0000,Npy5r
0.34088699999999994,0.24894899999999998,0.02985,#573f08,#bc8910,Nr2f1
0.96224,0.012896,0.002976,#f50301,#f50301,Nr4a1
1.0,0.0,0.0,#ff0000,#ff0000,Nr4a2
1.0,0.0,0.0,#ff0000,#ff0000,Nr4a3
