,gene,MIC,KLD,MWU,MIC_log,KLD_log,MWU_log
0,0610007P14Rik,0.0,0.12090056909041517,0.9485325168506443,-inf,-2.112786814255718,0.052839207800764176
1,0610009B22Rik,0.0,0.15998751428004335,0.17524424540000594,-inf,-1.8326595025429868,1.7415745901257922
2,0610009L18Rik,0.0,0.182468600728375,0.3993070561142079,-inf,-1.701177171565453,0.9180245938589578
3,0610009O20Rik,0.07792287078001325,0.2406932059050247,0.17524424540000594,-2.552035777667224,-1.4242321609935409,1.7415745901257922
4,0610010F05Rik,0.12086504765076111,0.10028300908590015,0.40138716571176614,-2.1130806644763442,-2.299758999302391,0.9128288169433143
5,0610010K14Rik,0.0,0.12487829170436418,0.5612758361345778,-inf,-2.08041568236593,0.5775428077832481
6,0610012G03Rik,0.0,0.24434162236095747,0.27249048346995175,-inf,-1.409187941260085,1.3001515885347106
7,0610030E20Rik,0.0,0.13112749724197664,0.8464505968765906,-inf,-2.0315851677036374,0.16670344074632326
8,0610037L13Rik,0.0,0.10934064525295062,0.06121463495460199,-inf,-2.213287084188718,2.793368984806523
9,0610040J01Rik,0.0,0.18459758287562275,1.0,-inf,-1.6895770508473078,-0.0
10,1110002E22Rik,0.0,0.11770609377438594,0.9485325168506443,-inf,-2.1395644922720445,0.052839207800764176
11,1110004E09Rik,0.0,0.2094128132775615,0.746885633390364,-inf,-1.5634477919805025,0.2918432067882265
12,1110004F10Rik,0.11808726987298357,0.07032027727101649,0.17524424540000594,-2.1363313526726633,-2.6546950826235625,1.7415745901257922
13,1110008F13Rik,0.13398605362891014,0.12930801913646167,0.02386844216457435,-2.010019561843847,-2.0455579755105893,3.7351981040801885
14,1110008L16Rik,0.11984463948749591,0.1459065350910946,0.9485325168506443,-2.1215590459481106,-1.9247890328794393,0.052839207800764176
15,1110008P14Rik,0.0,0.09715978293050065,0.13763825510818278,-inf,-2.331398408995364,1.9831263753478117
16,1110012L19Rik,0.0,0.2829202735277708,0.17524424540000594,-inf,-1.2625901400122885,1.7415745901257922
17,1110017D15Rik,0.2618514422085845,0.21353316810042502,0.026472236641991963,-1.3399779505055889,-1.543963104279305,3.6316587690709605
18,1110032A03Rik,0.006831858617572628,0.1280560087944149,0.13763825510818278,-4.9861585168592,-2.0552875420614227,1.9831263753478117
19,1110032F04Rik,0.0,0.13045509529388558,0.6051797630895014,-inf,-2.0367262087993327,0.5022297360118406
20,1110034G24Rik,0.0,0.3280210063269405,0.47767502398590367,-inf,-1.1146776289690057,0.7388246438427432
21,1110037F02Rik,0.13617117009974122,0.09026076812617234,0.5612758361345778,-1.993842580949171,-2.4050523744691237,0.5775428077832481
22,1110038F14Rik,0.0,0.14079616120312868,0.8464505968765906,-inf,-1.9604420998121943,0.16670344074632326
23,1110051M20Rik,0.0,0.09429553580226116,0.8464505968765906,-inf,-2.3613214308423074,0.16670344074632326
24,1110059E24Rik,0.03911901590472966,0.14030139332146474,0.17524424540000594,-3.2411465899415024,-1.9639623609076047,1.7415745901257922
25,1110059G10Rik,0.0,0.16023837133628097,0.6513784464763926,-inf,-1.8310927515786175,0.42866447468804925
26,1110065P20Rik,0.0,0.15172631454217883,0.8464505968765906,-inf,-1.8856769433189806,0.16670344074632326
27,1190002N15Rik,0.44901130615416274,0.08079976111884292,0.003675612117741231,-0.8007072108126747,-2.5157812699094215,5.60603559753668
28,1190005I06Rik,0.0,0.28549657712166326,0.9483051017322014,-inf,-1.2535252390239195,0.05307899123536567
29,1190007I07Rik,0.0,0.15315519521325804,0.9485325168506443,-inf,-1.8763035238937347,0.052839207800764176
30,1500009C09Rik,0.027183332540475336,0.09974585357974489,0.03315998745884777,-3.6051512677502875,-2.305129792199001,3.4064113269163276
31,1500009L16Rik,0.0,0.1630711779255314,0.13763825510818278,-inf,-1.8135684991001262,1.9831263753478117
32,1500011B03Rik,0.0,0.09214578628604465,0.6513784464763926,-inf,-2.38438332259607,0.42866447468804925
33,1500011K16Rik,0.0,0.11788645520527198,0.47767502398590367,-inf,-2.1380333617935707,0.7388246438427432
34,1500015O10Rik,0.013297020439876794,0.18725822375793397,0.4483077126270574,-4.3202152959291755,-1.6752667389487532,0.8022754238039833
35,1600002H07Rik,0.3225373832516685,0.10785554191450568,0.008132021898881838,-1.131536232404736,-2.2269625220753553,4.811945690292728
