,cluster
Mapre1,2
March11,0
Mcl1,2
Mea1,5
Mest,5
Mettl7a1,0
Mfap1a,1
Mfap3l,1
Mgst3,3
Minpp1,1
Mis12,0
Mkks,3
Mmp12,2
Mn1,1
Mobp,2
Mrpl42,5
Mrps16,0
Mrps23,3
Mrps26,2
Msmo1,2
Mtch2,0
Mtrf1,0
Myd88,0
Myeov2,0
Myl12b,0
Myom1,2
Naa30,1
Nab2,0
Naf1,3
Nap1l5,5
Ndnl2,3
Ndufs4,1
Ndufs5,0
Ndufv1,0
Necap1,5
Neurl4,0
Neurod2,3
Nexn,2
Nfam1,3
Nfil3,2
Ngrn,0
Nkrf,1
Nkx2-2,2
Npas4,2
Nppa,2
Nptx2,0
Npy1r,2
Npy5r,5
Nr2f1,1
Nr4a1,2
Nr4a2,2
Nr4a3,2
Nrg2,3
Nrip1,5
Nsf,0
Nsmaf,3
Ntpcr,2
Nuak1,2
Nuf2,1
Numb,2
Nup50,0
Nupr1,3
Odf4,2
Olfml2b,3
Olfr635,3
Orc5,0
Otog,5
Otud1,2
Oxr1,0
Pak6,0
Palb2,5
Parg,0
Pcdh8,3
Pdia4,1
Peli1,3
Per1,2
Phlda1,2
Phtf1,1
Pick1,0
Pigb,1
Pigm,0
Pira2,2
Pkd1,0
Plagl1,2
Pld6,1
Plekho1,0
Plk2,2
Plk3,2
Pmm2,3
Pnp,2
Pnpt1,3
Poc5,0
Polr2d,5
Ppat,3
Ppic,1
Ppm1d,1
Ppp1r15a,2
Ppp2r2a,0
Ppp6c,3
Prep,2
Prickle2,5
Prkcb,3
Prkci,3
Prkcz,5
Prmt3,1
Prnp,5
Prokr2,5
Prom2,5
Prpf38b,1
Prr15,0
Psmb8,3
Psmc3,0
Ptger4,3
Ptgs2,2
Ptpn22,0
Pxn,2
Rab11fip2,0
Rab2a,5
Rab39b,1
Rab3b,5
Raf1,3
Ranbp2,0
Rasd1,2
Rasl11a,2
Rbbp5,3
Rbbp8,0
Rbm38,1
Rbp4,5
Rbsn,1
Rdh16,5
Rfc5,1
Rfx2,5
Rfx7,3
Rgmb,3
Rgs2,2
Rgs4,2
Ripk3,2
Rnf128,1
Rnf138rt1,3
Rnf149,3
Rnft1,2
Rnpc3,1
Rom1,0
Rora,3
Rorb,3
Rpl21-ps4,2
Rpl36a,0
Rpp21,5
Rsbn1l,2
Rsrc1,3
Rundc1,5
Samd11,0
Samm50,0
Sbds,3
Scd3,5
Scg2,3
Scg3,2
Scrn1,3
Sdcbp,3
Sebox,0
Sec61b,2
Serp1,2
Sf3b1,0
Sgk1,1
Sgpl1,2
Sh2d3c,3
Shc4,1
Shmt2,2
Siah2,2
Sik1,2
Slc14a1,2
Slc16a1,1
Slc18a2,3
Slc18b1,1
Slc20a2,0
Slc23a4,3
Slc25a25,1
Slc2a3,0
Slc2a5,3
Slc35c2,0
Slc36a4,1
Slc5a10,2
Slc6a6,0
Slc7a15,5
Slco2a1,1
Smad7,2
Smc1b,5
Smg9,2
Smndc1,2
Snrpd2,0
Snx18,2
Snx4,1
Sorcs2,1
Sos1,2
Sowahc,2
Spata2l,1
Spcs3,1
Specc1l,3
Spin2c,2
Sptlc2,3
Spty2d1,1
Srek1ip1,3
Srf,2
Srgap1,2
Ssna1,0
Ssxb2,3
Stard3nl,1
Stmn4,3
Stx2,3
Sumf2,3
Suv39h1,1
Syt4,3
Syt5,3
Tada2b,1
Tax1bp1,3
Tbc1d17,3
Tbcel,3
Tceb2,0
Tcta,5
Tdrp,0
Tes,2
Tgfb3,0
Tgs1,3
Thap4,2
Thoc7,2
Tiparp,2
Tlr13,1
Tmed2,1
Tmem119,3
Tmem151b,0
Tmem167,3
Tmem201,0
Tmem253,2
Tmem39a,3
Tmem47,3
Tmem50a,2
Tmem8b,3
Tmprss9,5
Tmx4,2
Tnfrsf23,2
Tnip2,0
Toe1,2
Tox4,0
Tra2b,3
Traip,2
Trappc6b,1
Trhr,1
Trib1,2
Trim11,0
Trp53inp2,2
Tsen54,3
Tspan33,0
Tuba1b,0
Tubb2a,2
Tubb3,0
Tubb4a,0
Tubb4b,1
Txnip,3
U2af1l4,3
Uba3,3
Ubc,2
Ube2a,2
Ube2d3,1
Ube2l6,5
Ube2o,0
Unc5a,3
Uncx,3
Uqcrc2,2
Urb1,1
Usp17lc,5
Usp27x,0
Usp36,2
Uspl1,0
Vamp1,2
Veph1,1
Vmn1r63,5
Vmn2r10,2
Vwa3b,0
Wbscr16,2
Wdfy2,0
Wdr26,5
Wdr34,0
Wdr45b,3
Wdr83,5
Wwc1,0
Zbtb11,0
Zbtb21,3
Zbtb33,2
Zbtb41,0
Zc3h11a,1
Zc3h12c,0
Zc3h6,3
Zdbf2,2
Zdhhc2,0
Zfand5,5
Zfp207,3
Zfp24,5
Zfp26,3
Zfp276,1
Zfp281,1
Zfp385b,5
Zfp52,0
Zfp553,1
Zfp59,2
Zfp654,0
Zfp655,0
Zfp668,0
Zfp799,3
Zfp804b,9
Zfp869,5
Zfp87,0
Zfp937,3
Zfp950,0
Zfp994,1
Zkscan8,1
Zmym2,0
Zranb1,0
Zscan2,3
