tissue,gene,lfc,padj,logpadj,comparison,direction
DG,Fance,0.12755295148815715,0.9308641589614112,0.0311136910034457,yoked vs. trained,NS
DG,Fancg,-0.6670094732864005,0.41074908196322574,0.38642339855327995,yoked vs. trained,NS
DG,Fanci,-0.27421399087360415,0.885435351871908,0.052843142379311925,yoked vs. trained,NS
DG,Fancl,0.00483004466542899,0.9984477037346111,6.746774875914091e-4,yoked vs. trained,NS
DG,Fancm,0.11867263575444906,0.948810781849549,0.022820388828928465,yoked vs. trained,NS
DG,Far1,0.05270748889918308,0.9538284727873633,0.02052971755965673,yoked vs. trained,NS
DG,Far2,0.06984514649062137,0.976949536476851,0.010127868825401424,yoked vs. trained,NS
DG,Farp1,0.4995421574961426,0.4596266073934097,0.3375948383178216,yoked vs. trained,NS
DG,Farp2,0.665991221149748,0.578733237731028,0.2375215745767415,yoked vs. trained,NS
DG,Fars2,-0.16688225876881185,0.9201269433546304,0.036152252007429775,yoked vs. trained,NS
DG,Farsa,-0.14756939073190786,0.899950483682389,0.04578138528856128,yoked vs. trained,NS
DG,Farsb,-0.1814096540161635,0.870952953154487,0.06000530393290719,yoked vs. trained,NS
DG,Fasn,0.2610871385075311,0.3284160766432703,0.4835755914229821,yoked vs. trained,NS
DG,Fastk,-0.22390066738156972,0.6522917800061406,0.18555809429748432,yoked vs. trained,NS
DG,Fastkd1,-0.2333594865895027,0.870952953154487,0.06000530393290719,yoked vs. trained,NS
DG,Fastkd2,-0.2335749177550274,0.8541663174864285,0.06845755819389852,yoked vs. trained,NS
DG,Fastkd3,-0.6877329191653134,0.5638487925294191,0.24883734526220241,yoked vs. trained,NS
DG,Fastkd5,-0.32669934838618137,0.8433976901106085,0.07396759276102999,yoked vs. trained,NS
DG,Fat1,0.6811751975454987,0.46274935321772204,0.3346541795856917,yoked vs. trained,NS
DG,Fat3,0.09485693231727921,0.9254041702041267,0.03366854774452902,yoked vs. trained,NS
DG,Fat4,0.38334036692663226,0.527108749092738,0.27809977518864054,yoked vs. trained,NS
DG,Fau,-0.2909657018943507,0.8990034573457968,0.04623863807398552,yoked vs. trained,NS
DG,Faxc,0.17124603897970864,0.8799366996897461,0.055548568718281635,yoked vs. trained,NS
DG,Fbf1,-0.22133987346089715,0.6975573051097306,0.15642010881328464,yoked vs. trained,NS
DG,Fbl,0.5259196990119792,0.40255335064279607,0.3951765541673061,yoked vs. trained,NS
DG,Fbll1,-0.20624607005067994,0.8339157777724903,0.07887780918921372,yoked vs. trained,NS
