"","tissue","gene","lfc","padj","logpadj","comparison","direction"
"403","CA1","Notch2",7.17,"5.98e-02",1.22,"standard.yoked vs. standard.trained","standard.trained"
"404","CA1","Nptx2",1.46,"5.53e-02",1.26,"standard.yoked vs. standard.trained","standard.trained"
"405","CA1","Nr3c1",1.72,"4.65e-03",2.33,"standard.yoked vs. standard.trained","standard.trained"
"406","CA1","Ntpcr",-2.41,"2.01e-02",1.7,"standard.yoked vs. standard.trained","standard.yoked"
"407","CA1","Ntrk3",1.31,"8.86e-02",1.05,"standard.yoked vs. standard.trained","standard.trained"
"408","CA1","Nup210",1.83,"6.29e-02",1.2,"standard.yoked vs. standard.trained","standard.trained"
"409","CA1","Pank2",-1.26,"9.60e-02",1.02,"standard.yoked vs. standard.trained","standard.yoked"
"410","CA1","Pcdh10",1.96,"9.04e-03",2.04,"standard.yoked vs. standard.trained","standard.trained"
"411","CA1","Pcdh19",1.88,"3.12e-02",1.51,"standard.yoked vs. standard.trained","standard.trained"
"412","CA1","Pcdhga2",3.48,"1.65e-02",1.78,"standard.yoked vs. standard.trained","standard.trained"
"413","CA1","Pcdhga7",6.73,"9.80e-02",1.01,"standard.yoked vs. standard.trained","standard.trained"
"414","CA1","Pcnt",2.81,"5.72e-02",1.24,"standard.yoked vs. standard.trained","standard.trained"
"415","CA1","Pdgfra",3.27,"8.48e-02",1.07,"standard.yoked vs. standard.trained","standard.trained"
"416","CA1","Pdpr",4.77,"7.65e-02",1.12,"standard.yoked vs. standard.trained","standard.trained"
"417","CA1","Pdxk",1.2,"5.45e-02",1.26,"standard.yoked vs. standard.trained","standard.trained"
"418","CA1","Pex26",6.7,"8.86e-02",1.05,"standard.yoked vs. standard.trained","standard.trained"
"419","CA1","Phlpp2",1.67,"7.55e-02",1.12,"standard.yoked vs. standard.trained","standard.trained"
"420","CA1","Pin1",-1.36,"6.68e-02",1.18,"standard.yoked vs. standard.trained","standard.yoked"
"421","CA1","Pitpnc1",1.7,"4.88e-02",1.31,"standard.yoked vs. standard.trained","standard.trained"
"422","CA1","Plrg1",4.31,"5.23e-02",1.28,"standard.yoked vs. standard.trained","standard.trained"
"423","CA1","Polr2a",1.13,"9.16e-02",1.04,"standard.yoked vs. standard.trained","standard.trained"
"424","CA1","Polrmt",-1.14,"7.95e-02",1.1,"standard.yoked vs. standard.trained","standard.yoked"
"425","CA1","Ppfia1",-1.2,"6.68e-02",1.18,"standard.yoked vs. standard.trained","standard.yoked"
"426","CA1","Ppfia3",-0.67,"6.53e-02",1.19,"standard.yoked vs. standard.trained","standard.yoked"
"427","CA1","Ppp2r3c",6.9,"6.53e-02",1.19,"standard.yoked vs. standard.trained","standard.trained"
"428","CA1","Prkar1b",-0.6,"8.86e-02",1.05,"standard.yoked vs. standard.trained","standard.yoked"
"429","CA1","Prkdc",1.78,"7.59e-02",1.12,"standard.yoked vs. standard.trained","standard.trained"
"430","CA1","Prpf18",2.72,"4.88e-02",1.31,"standard.yoked vs. standard.trained","standard.trained"
"431","CA1","Prps2",4.01,"5.72e-02",1.24,"standard.yoked vs. standard.trained","standard.trained"
"432","CA1","Pum2",1.11,"3.12e-02",1.51,"standard.yoked vs. standard.trained","standard.trained"
"433","CA1","Pura",2.47,"1.58e-02",1.8,"standard.yoked vs. standard.trained","standard.trained"
"434","CA1","Rab4b",1.88,"6.45e-02",1.19,"standard.yoked vs. standard.trained","standard.trained"
"435","CA1","Rasl11b",-1,"7.14e-02",1.15,"standard.yoked vs. standard.trained","standard.yoked"
"436","CA1","Rbm12b1",-2.41,"9.38e-02",1.03,"standard.yoked vs. standard.trained","standard.yoked"
"437","CA1","Rdh1",6.6,"8.98e-02",1.05,"standard.yoked vs. standard.trained","standard.trained"
"438","CA1","Rfwd3",3.11,"9.65e-02",1.02,"standard.yoked vs. standard.trained","standard.trained"
"439","CA1","Rnaseh2c",-2.14,"9.45e-02",1.02,"standard.yoked vs. standard.trained","standard.yoked"
"440","CA1","Rnf112",-0.63,"9.38e-02",1.03,"standard.yoked vs. standard.trained","standard.yoked"
"441","CA1","Rnf149",2.51,"6.68e-02",1.18,"standard.yoked vs. standard.trained","standard.trained"
"442","CA1","Rnf157",0.76,"4.88e-02",1.31,"standard.yoked vs. standard.trained","standard.trained"
"443","CA1","Rnpep",1.99,"4.88e-02",1.31,"standard.yoked vs. standard.trained","standard.trained"
"444","CA1","Rpl10-ps3",9.1,"1.65e-02",1.78,"standard.yoked vs. standard.trained","standard.trained"
"445","CA1","Rps6",-0.81,"9.62e-02",1.02,"standard.yoked vs. standard.trained","standard.yoked"
"446","CA1","Rsbn1",2.92,"5.72e-02",1.24,"standard.yoked vs. standard.trained","standard.trained"
"447","CA1","Rsph3a",-2.07,"8.21e-02",1.09,"standard.yoked vs. standard.trained","standard.yoked"
"448","CA1","Rufy2",-1.57,"6.01e-02",1.22,"standard.yoked vs. standard.trained","standard.yoked"
"449","CA1","S1pr1",1.85,"5.72e-02",1.24,"standard.yoked vs. standard.trained","standard.trained"
"450","CA1","Safb2",-0.93,"7.94e-02",1.1,"standard.yoked vs. standard.trained","standard.yoked"
"451","CA1","Sbno1",1,"6.53e-02",1.19,"standard.yoked vs. standard.trained","standard.trained"
"452","CA1","Scaper",4.28,"3.11e-02",1.51,"standard.yoked vs. standard.trained","standard.trained"
"453","CA1","Scn4b",2.14,"7.63e-03",2.12,"standard.yoked vs. standard.trained","standard.trained"
"454","CA1","Sdc3",1.25,"5.72e-02",1.24,"standard.yoked vs. standard.trained","standard.trained"
"455","CA1","Sdhaf2",-1.26,"6.83e-02",1.17,"standard.yoked vs. standard.trained","standard.yoked"
"456","CA1","Serinc5",1.61,"4.20e-02",1.38,"standard.yoked vs. standard.trained","standard.trained"
"457","CA1","Setd5",1.78,"4.15e-03",2.38,"standard.yoked vs. standard.trained","standard.trained"
"458","CA1","Shisa7",-0.59,"6.53e-02",1.19,"standard.yoked vs. standard.trained","standard.yoked"
"459","CA1","Shoc2",2.22,"3.65e-03",2.44,"standard.yoked vs. standard.trained","standard.trained"
"460","CA1","Slc12a4",6.49,"9.62e-02",1.02,"standard.yoked vs. standard.trained","standard.trained"
"461","CA1","Slc23a2",1.11,"6.68e-02",1.18,"standard.yoked vs. standard.trained","standard.trained"
"462","CA1","Slc30a1",1.84,"6.68e-02",1.18,"standard.yoked vs. standard.trained","standard.trained"
"463","CA1","Slc35e2",1.63,"4.40e-02",1.36,"standard.yoked vs. standard.trained","standard.trained"
"464","CA1","Slc35f1",2.08,"5.11e-02",1.29,"standard.yoked vs. standard.trained","standard.trained"
"465","CA1","Slc39a13",3.07,"7.59e-02",1.12,"standard.yoked vs. standard.trained","standard.trained"
"466","CA1","Slc4a3",1.24,"5.72e-02",1.24,"standard.yoked vs. standard.trained","standard.trained"
"467","CA1","Slc6a9",7.52,"5.23e-02",1.28,"standard.yoked vs. standard.trained","standard.trained"
"468","CA1","Slc7a11",6.71,"9.45e-02",1.02,"standard.yoked vs. standard.trained","standard.trained"
"469","CA1","Slc9a7",5.12,"6.68e-02",1.18,"standard.yoked vs. standard.trained","standard.trained"
"470","CA1","Slco1c1",2.98,"6.35e-02",1.2,"standard.yoked vs. standard.trained","standard.trained"
"471","CA1","Smad9",6.48,"9.98e-02",1,"standard.yoked vs. standard.trained","standard.trained"
"472","CA1","Smc1a",1.46,"6.18e-02",1.21,"standard.yoked vs. standard.trained","standard.trained"
"473","CA1","Smpd3",0.94,"9.16e-02",1.04,"standard.yoked vs. standard.trained","standard.trained"
"474","CA1","Snx12",1.53,"5.23e-02",1.28,"standard.yoked vs. standard.trained","standard.trained"
"475","CA1","Snx18",3.93,"5.72e-02",1.24,"standard.yoked vs. standard.trained","standard.trained"
"476","CA1","Soga1",3.6,"1.79e-03",2.75,"standard.yoked vs. standard.trained","standard.trained"
"477","CA1","Sox5",6.4,"9.98e-02",1,"standard.yoked vs. standard.trained","standard.trained"
"478","CA1","Spin1",0.78,"6.68e-02",1.18,"standard.yoked vs. standard.trained","standard.trained"
"479","CA1","Sptb",1.04,"5.72e-02",1.24,"standard.yoked vs. standard.trained","standard.trained"
"480","CA1","Srm",1.98,"6.18e-02",1.21,"standard.yoked vs. standard.trained","standard.trained"
"481","CA1","Srprb",7.21,"5.72e-02",1.24,"standard.yoked vs. standard.trained","standard.trained"
"482","CA1","St8sia4",6.87,"9.14e-02",1.04,"standard.yoked vs. standard.trained","standard.trained"
"483","CA1","Stam",1.7,"2.60e-02",1.59,"standard.yoked vs. standard.trained","standard.trained"
"484","CA1","Stard13",6.91,"9.38e-02",1.03,"standard.yoked vs. standard.trained","standard.trained"
"485","CA1","Stom",-2.51,"9.16e-02",1.04,"standard.yoked vs. standard.trained","standard.yoked"
"486","CA1","Stx3",-1.56,"4.20e-02",1.38,"standard.yoked vs. standard.trained","standard.yoked"
"487","CA1","Syncrip",1.31,"9.63e-02",1.02,"standard.yoked vs. standard.trained","standard.trained"
"488","CA1","Szt2",1.91,"5.72e-02",1.24,"standard.yoked vs. standard.trained","standard.trained"
"489","CA1","Tecpr2",1.39,"4.88e-02",1.31,"standard.yoked vs. standard.trained","standard.trained"
"490","CA1","Tenm1",2.49,"9.63e-02",1.02,"standard.yoked vs. standard.trained","standard.trained"
"491","CA1","Tet3",1.37,"6.29e-02",1.2,"standard.yoked vs. standard.trained","standard.trained"
"492","CA1","Tgoln1",1.05,"6.30e-02",1.2,"standard.yoked vs. standard.trained","standard.trained"
"493","CA1","Timm23",7.86,"6.68e-02",1.18,"standard.yoked vs. standard.trained","standard.trained"
"494","CA1","Tiparp",1.64,"9.62e-02",1.02,"standard.yoked vs. standard.trained","standard.trained"
"495","CA1","Tmed10",0.98,"9.98e-02",1,"standard.yoked vs. standard.trained","standard.trained"
"496","CA1","Tmem170b",1.64,"4.73e-02",1.32,"standard.yoked vs. standard.trained","standard.trained"
"497","CA1","Tmem199",-1.52,"4.23e-02",1.37,"standard.yoked vs. standard.trained","standard.yoked"
"498","CA1","Tmem231",6.47,"9.45e-02",1.02,"standard.yoked vs. standard.trained","standard.trained"
"499","CA1","Tmem38a",-0.94,"6.53e-02",1.19,"standard.yoked vs. standard.trained","standard.yoked"
"500","CA1","Tmem70",-1.51,"9.60e-02",1.02,"standard.yoked vs. standard.trained","standard.yoked"
"501","CA1","Tnrc6b",1.68,"1.89e-02",1.72,"standard.yoked vs. standard.trained","standard.trained"
"502","CA1","Trim26",6.27,"9.96e-02",1,"standard.yoked vs. standard.trained","standard.trained"
"503","CA1","Trim39",-1.5,"9.45e-02",1.02,"standard.yoked vs. standard.trained","standard.yoked"
"504","CA1","Trmt2b",6.99,"6.68e-02",1.18,"standard.yoked vs. standard.trained","standard.trained"
"505","CA1","Trp53i11",6.56,"9.65e-02",1.02,"standard.yoked vs. standard.trained","standard.trained"
"506","CA1","Tsc22d4",1.76,"8.86e-02",1.05,"standard.yoked vs. standard.trained","standard.trained"
"507","CA1","Tsn",1.13,"8.86e-02",1.05,"standard.yoked vs. standard.trained","standard.trained"
"508","CA1","Tspan3",-0.73,"6.29e-02",1.2,"standard.yoked vs. standard.trained","standard.yoked"
"509","CA1","Ttc7b",1.27,"1.65e-02",1.78,"standard.yoked vs. standard.trained","standard.trained"
"510","CA1","Ttll7",1.16,"5.62e-02",1.25,"standard.yoked vs. standard.trained","standard.trained"
"511","CA1","Tulp3",4.23,"3.11e-02",1.51,"standard.yoked vs. standard.trained","standard.trained"
"512","CA1","Uba6",3.7,"7.31e-02",1.14,"standard.yoked vs. standard.trained","standard.trained"
"513","CA1","Ube4a",1.43,"6.29e-02",1.2,"standard.yoked vs. standard.trained","standard.trained"
"514","CA1","Ubiad1",-2.88,"9.37e-02",1.03,"standard.yoked vs. standard.trained","standard.yoked"
"515","CA1","Ubxn2a",4.24,"3.23e-02",1.49,"standard.yoked vs. standard.trained","standard.trained"
"516","CA1","Uckl1",-1.63,"6.68e-02",1.18,"standard.yoked vs. standard.trained","standard.yoked"
"517","CA1","Unk",7.41,"5.23e-02",1.28,"standard.yoked vs. standard.trained","standard.trained"
"518","CA1","Usp37",3.97,"5.72e-02",1.24,"standard.yoked vs. standard.trained","standard.trained"
"519","CA1","Usp6nl",6.57,"9.62e-02",1.02,"standard.yoked vs. standard.trained","standard.trained"
"520","CA1","Utp14b",7.22,"6.18e-02",1.21,"standard.yoked vs. standard.trained","standard.trained"
"521","CA1","Uvssa",6.94,"8.05e-02",1.09,"standard.yoked vs. standard.trained","standard.trained"
"522","CA1","Vcan",6.84,"6.68e-02",1.18,"standard.yoked vs. standard.trained","standard.trained"
"523","CA1","Vipas39",-1.4,"6.54e-02",1.18,"standard.yoked vs. standard.trained","standard.yoked"
"524","CA1","Zbtb11",1.5,"6.83e-02",1.17,"standard.yoked vs. standard.trained","standard.trained"
"525","CA1","Zc3h13",1.69,"3.89e-02",1.41,"standard.yoked vs. standard.trained","standard.trained"
"526","CA1","Zeb1",1.42,"6.68e-02",1.18,"standard.yoked vs. standard.trained","standard.trained"
"527","CA1","Zfp13",4.79,"8.86e-02",1.05,"standard.yoked vs. standard.trained","standard.trained"
"528","CA1","Zfp316",2.99,"2.04e-02",1.69,"standard.yoked vs. standard.trained","standard.trained"
"529","CA1","Zfp536",7.12,"6.53e-02",1.19,"standard.yoked vs. standard.trained","standard.trained"
"530","CA1","Zfp622",1.71,"5.15e-02",1.29,"standard.yoked vs. standard.trained","standard.trained"
"531","CA1","Zfp626",-2.02,"9.62e-02",1.02,"standard.yoked vs. standard.trained","standard.yoked"
"532","CA1","Zfp668",-1.52,"6.20e-02",1.21,"standard.yoked vs. standard.trained","standard.yoked"
"533","CA1","Zfp780b",6.38,"9.60e-02",1.02,"standard.yoked vs. standard.trained","standard.trained"
"534","CA1","Zfp788",1.9,"9.73e-02",1.01,"standard.yoked vs. standard.trained","standard.trained"
"535","CA1","Zfp831",2.57,"6.29e-03",2.2,"standard.yoked vs. standard.trained","standard.trained"
"536","CA1","Zmpste24",7.14,"6.18e-02",1.21,"standard.yoked vs. standard.trained","standard.trained"
"537","CA1","Zscan18",7.62,"4.88e-02",1.31,"standard.yoked vs. standard.trained","standard.trained"
"538","CA1","Zscan26",-0.95,"7.97e-02",1.1,"standard.yoked vs. standard.trained","standard.yoked"
"539","CA1","Arid5b",1.58,"7.80e-03",2.11,"yoked vs. trained","trained"
"540","CA1","Glcci1",1.92,"2.40e-03",2.62,"yoked vs. trained","trained"
"541","CA1","Kiss1r",-2.3,"6.58e-02",1.18,"yoked vs. trained","yoked"
"542","CA1","Stac3",-2.36,"4.11e-02",1.39,"yoked vs. trained","yoked"
"543","CA3","Ccna2",6.85,"9.97e-02",1,"standard.trained vs. conflict.trained","conflict.trained"
"544","CA3","Col25a1",-1.82,"1.80e-02",1.74,"standard.trained vs. conflict.trained","standard.trained"
"545","CA3","Colec12",-5.37,"6.89e-03",2.16,"standard.trained vs. conflict.trained","standard.trained"
"546","CA3","Crnkl1",3.33,"1.80e-02",1.74,"standard.trained vs. conflict.trained","conflict.trained"
"547","CA3","Erdr1",2.17,"2.47e-05",4.61,"standard.trained vs. conflict.trained","conflict.trained"
"548","CA3","Maf",-2.64,"7.76e-03",2.11,"standard.trained vs. conflict.trained","standard.trained"
"549","CA3","Oprd1",-2.64,"1.80e-02",1.74,"standard.trained vs. conflict.trained","standard.trained"
"550","CA3","Rbms3",-2.32,"1.22e-02",1.91,"standard.trained vs. conflict.trained","standard.trained"
"551","CA3","Rims3",-2.41,"4.80e-02",1.32,"standard.trained vs. conflict.trained","standard.trained"
"552","CA3","Slc32a1",-1.64,"9.94e-02",1,"standard.trained vs. conflict.trained","standard.trained"
"553","CA3","Slc9a2",1.61,"1.80e-02",1.74,"standard.trained vs. conflict.trained","conflict.trained"
"554","CA3","Stab1",-3.16,"9.31e-02",1.03,"standard.trained vs. conflict.trained","standard.trained"
"555","CA3","Timm8a1",5.04,"2.33e-02",1.63,"standard.trained vs. conflict.trained","conflict.trained"
"556","CA3","Sco2",7.48,"1.61e-03",2.79,"standard.yoked vs. conflict.yoked","conflict.yoked"
"557","CA3","Tbc1d16",-2,"4.48e-02",1.35,"standard.yoked vs. conflict.yoked","standard.yoked"
"558","CA3","Erdr1",-1.61,"9.64e-02",1.02,"standard.yoked vs. standard.trained","standard.yoked"
"559","CA3","Gm4724",-3.72,"9.64e-02",1.02,"standard.yoked vs. standard.trained","standard.yoked"
"560","CA3","Sco2",7.93,"7.59e-04",3.12,"standard.yoked vs. standard.trained","standard.trained"
"561","CA3","Timm8a1",-5.03,"9.64e-02",1.02,"standard.yoked vs. standard.trained","standard.yoked"
"562","DG","1190002N15Rik",2,"6.12e-02",1.21,"conflict.yoked vs. conflict.trained","conflict.trained"
"563","DG","A830010M20Rik",1.25,"2.11e-02",1.68,"conflict.yoked vs. conflict.trained","conflict.trained"
"564","DG","Acan",1.53,"2.11e-02",1.68,"conflict.yoked vs. conflict.trained","conflict.trained"
"565","DG","Ankrd33b",1.04,"3.58e-02",1.45,"conflict.yoked vs. conflict.trained","conflict.trained"
"566","DG","Apaf1",1.41,"6.33e-02",1.2,"conflict.yoked vs. conflict.trained","conflict.trained"
"567","DG","Atf6",0.66,"9.80e-02",1.01,"conflict.yoked vs. conflict.trained","conflict.trained"
"568","DG","Btg3",1.73,"9.37e-02",1.03,"conflict.yoked vs. conflict.trained","conflict.trained"
"569","DG","C1ql3",0.65,"7.93e-02",1.1,"conflict.yoked vs. conflict.trained","conflict.trained"
"570","DG","Cntnap2",-1.64,"9.37e-02",1.03,"conflict.yoked vs. conflict.trained","conflict.yoked"
"571","DG","Dalrd3",-0.75,"9.80e-02",1.01,"conflict.yoked vs. conflict.trained","conflict.yoked"
"572","DG","Dbpht2",1.3,"1.50e-02",1.82,"conflict.yoked vs. conflict.trained","conflict.trained"
"573","DG","Dusp4",1.03,"5.51e-02",1.26,"conflict.yoked vs. conflict.trained","conflict.trained"
"574","DG","Errfi1",1.17,"5.51e-02",1.26,"conflict.yoked vs. conflict.trained","conflict.trained"
"575","DG","Fzd5",2.41,"1.50e-02",1.82,"conflict.yoked vs. conflict.trained","conflict.trained"
"576","DG","Gadd45g",1.14,"7.93e-02",1.1,"conflict.yoked vs. conflict.trained","conflict.trained"
"577","DG","Hs6st1",0.68,"9.37e-02",1.03,"conflict.yoked vs. conflict.trained","conflict.trained"
"578","DG","Il16",0.83,"9.46e-02",1.02,"conflict.yoked vs. conflict.trained","conflict.trained"
"579","DG","Irs1",1.24,"7.62e-02",1.12,"conflict.yoked vs. conflict.trained","conflict.trained"
"580","DG","Irs2",1.07,"4.67e-02",1.33,"conflict.yoked vs. conflict.trained","conflict.trained"
"581","DG","Jag1",1.47,"6.12e-02",1.21,"conflict.yoked vs. conflict.trained","conflict.trained"
"582","DG","Jun",0.84,"9.37e-02",1.03,"conflict.yoked vs. conflict.trained","conflict.trained"
"583","DG","Kctd12",0.82,"6.51e-02",1.19,"conflict.yoked vs. conflict.trained","conflict.trained"
"584","DG","Map3k3",1.01,"7.93e-02",1.1,"conflict.yoked vs. conflict.trained","conflict.trained"
"585","DG","Nnat",-1.41,"6.33e-02",1.2,"conflict.yoked vs. conflict.trained","conflict.yoked"
"586","DG","Npas4",1.97,"8.26e-02",1.08,"conflict.yoked vs. conflict.trained","conflict.trained"
"587","DG","Nptx2",1.17,"3.96e-02",1.4,"conflict.yoked vs. conflict.trained","conflict.trained"
"588","DG","Otud1",1.48,"7.62e-02",1.12,"conflict.yoked vs. conflict.trained","conflict.trained"
"589","DG","Pcdh8",1.3,"9.37e-02",1.03,"conflict.yoked vs. conflict.trained","conflict.trained"
"590","DG","Peli1",1.06,"9.46e-02",1.02,"conflict.yoked vs. conflict.trained","conflict.trained"
"591","DG","Plch2",-1.91,"3.96e-02",1.4,"conflict.yoked vs. conflict.trained","conflict.yoked"
"592","DG","Scoc",-0.69,"9.46e-02",1.02,"conflict.yoked vs. conflict.trained","conflict.yoked"
"593","DG","Slc16a1",1.83,"1.50e-02",1.82,"conflict.yoked vs. conflict.trained","conflict.trained"
"594","DG","Smad7",1.87,"2.54e-04",3.59,"conflict.yoked vs. conflict.trained","conflict.trained"
"595","DG","Spty2d1",1.36,"2.41e-02",1.62,"conflict.yoked vs. conflict.trained","conflict.trained"
"596","DG","Apold1",2.45,"7.41e-02",1.13,"standard.yoked vs. conflict.yoked","conflict.yoked"
"597","DG","Cd14",3.34,"2.09e-03",2.68,"standard.yoked vs. conflict.yoked","conflict.yoked"
"598","DG","Csrnp1",1.87,"1.85e-02",1.73,"standard.yoked vs. conflict.yoked","conflict.yoked"
"599","DG","Cxcl14",1.72,"4.96e-02",1.3,"standard.yoked vs. conflict.yoked","conflict.yoked"
"600","DG","Gadd45b",1.56,"7.41e-02",1.13,"standard.yoked vs. conflict.yoked","conflict.yoked"
"601","DG","Gm2115",3.47,"5.42e-03",2.27,"standard.yoked vs. conflict.yoked","conflict.yoked"
"602","DG","Kcnc2",3.28,"7.41e-02",1.13,"standard.yoked vs. conflict.yoked","conflict.yoked"
"603","DG","Nlrp3",4.3,"1.40e-04",3.85,"standard.yoked vs. conflict.yoked","conflict.yoked"
"604","DG","Osgin1",6.89,"9.28e-02",1.03,"standard.yoked vs. conflict.yoked","conflict.yoked"
"605","DG","Pcdhga6",-1.78,"9.95e-02",1,"standard.yoked vs. conflict.yoked","standard.yoked"
"606","DG","Plau",2.3,"7.41e-02",1.13,"standard.yoked vs. conflict.yoked","conflict.yoked"
"607","DG","Plch2",2.08,"7.70e-02",1.11,"standard.yoked vs. conflict.yoked","conflict.yoked"
"608","DG","Plek",1.91,"1.34e-03",2.87,"standard.yoked vs. conflict.yoked","conflict.yoked"
"609","DG","Pus7",-1.86,"5.55e-02",1.26,"standard.yoked vs. conflict.yoked","standard.yoked"
"610","DG","Sdc4",1.5,"6.67e-02",1.18,"standard.yoked vs. conflict.yoked","conflict.yoked"
"611","DG","Slc15a3",3.84,"9.95e-02",1,"standard.yoked vs. conflict.yoked","conflict.yoked"
"612","DG","Spry2",1.29,"5.42e-03",2.27,"standard.yoked vs. conflict.yoked","conflict.yoked"
"613","DG","Tlr2",3.22,"8.59e-02",1.07,"standard.yoked vs. conflict.yoked","conflict.yoked"
"614","DG","2010111I01Rik",1.58,"4.26e-02",1.37,"standard.yoked vs. standard.trained","standard.trained"
"615","DG","A830010M20Rik",1.8,"1.30e-05",4.88,"standard.yoked vs. standard.trained","standard.trained"
"616","DG","Abca5",1.12,"6.12e-02",1.21,"standard.yoked vs. standard.trained","standard.trained"
"617","DG","Acan",2.47,"3.13e-07",6.5,"standard.yoked vs. standard.trained","standard.trained"
"618","DG","Adamts1",2.37,"4.82e-02",1.32,"standard.yoked vs. standard.trained","standard.trained"
"619","DG","Adgra1",1.38,"6.82e-02",1.17,"standard.yoked vs. standard.trained","standard.trained"
"620","DG","Adipor2",1.11,"6.47e-02",1.19,"standard.yoked vs. standard.trained","standard.trained"
"621","DG","Amigo2",2,"2.39e-02",1.62,"standard.yoked vs. standard.trained","standard.trained"
"622","DG","Ankrd28",1.51,"4.24e-03",2.37,"standard.yoked vs. standard.trained","standard.trained"
"623","DG","Apold1",2,"8.82e-02",1.05,"standard.yoked vs. standard.trained","standard.trained"
"624","DG","Arc",2.88,"4.21e-04",3.38,"standard.yoked vs. standard.trained","standard.trained"
"625","DG","Areg",6.38,"2.10e-02",1.68,"standard.yoked vs. standard.trained","standard.trained"
"626","DG","Arhgef3",1.02,"2.47e-02",1.61,"standard.yoked vs. standard.trained","standard.trained"
"627","DG","Arid5a",2.88,"4.68e-02",1.33,"standard.yoked vs. standard.trained","standard.trained"
"628","DG","Arid5b",1.16,"8.71e-02",1.06,"standard.yoked vs. standard.trained","standard.trained"
"629","DG","Arl13b",1.83,"4.78e-02",1.32,"standard.yoked vs. standard.trained","standard.trained"
"630","DG","Arl4a",1.61,"4.26e-02",1.37,"standard.yoked vs. standard.trained","standard.trained"
"631","DG","Arl4d",2,"6.17e-05",4.21,"standard.yoked vs. standard.trained","standard.trained"
"632","DG","Arl5b",2.02,"3.85e-06",5.41,"standard.yoked vs. standard.trained","standard.trained"
"633","DG","Armcx5",1.64,"1.86e-02",1.73,"standard.yoked vs. standard.trained","standard.trained"
"634","DG","Arpp21",0.69,"4.79e-02",1.32,"standard.yoked vs. standard.trained","standard.trained"
"635","DG","Arxes1",1.25,"5.62e-02",1.25,"standard.yoked vs. standard.trained","standard.trained"
"636","DG","Atf3",2.53,"4.74e-02",1.32,"standard.yoked vs. standard.trained","standard.trained"
"637","DG","Atf4",0.89,"2.72e-02",1.57,"standard.yoked vs. standard.trained","standard.trained"
"638","DG","Bach1",1.3,"9.85e-02",1.01,"standard.yoked vs. standard.trained","standard.trained"
"639","DG","Bcl10",2.35,"9.27e-02",1.03,"standard.yoked vs. standard.trained","standard.trained"
"640","DG","Bdnf",1.78,"6.14e-03",2.21,"standard.yoked vs. standard.trained","standard.trained"
"641","DG","Btg1",1.2,"3.77e-04",3.42,"standard.yoked vs. standard.trained","standard.trained"
"642","DG","Btg2",2.4,"4.00e-03",2.4,"standard.yoked vs. standard.trained","standard.trained"
"643","DG","C2cd4b",1.31,"5.76e-02",1.24,"standard.yoked vs. standard.trained","standard.trained"
"644","DG","Capn11",5.92,"3.42e-02",1.47,"standard.yoked vs. standard.trained","standard.trained"
"645","DG","Ccdc138",3.04,"8.37e-02",1.08,"standard.yoked vs. standard.trained","standard.trained"
"646","DG","Ccnk",1.14,"1.16e-02",1.93,"standard.yoked vs. standard.trained","standard.trained"
"647","DG","Ccnl1",0.9,"7.24e-02",1.14,"standard.yoked vs. standard.trained","standard.trained"
"648","DG","Ccno",2.32,"3.21e-02",1.49,"standard.yoked vs. standard.trained","standard.trained"
"649","DG","Ccnyl1",1.54,"9.54e-02",1.02,"standard.yoked vs. standard.trained","standard.trained"
"650","DG","Cd14",2.58,"1.66e-02",1.78,"standard.yoked vs. standard.trained","standard.trained"
"651","DG","Cdkn1a",1.64,"3.10e-02",1.51,"standard.yoked vs. standard.trained","standard.trained"
"652","DG","Cecr6",-1.17,"6.94e-03",2.16,"standard.yoked vs. standard.trained","standard.yoked"
"653","DG","Cited2",1.58,"2.35e-02",1.63,"standard.yoked vs. standard.trained","standard.trained"
"654","DG","Cnnm1",0.7,"5.29e-02",1.28,"standard.yoked vs. standard.trained","standard.trained"
"655","DG","Col10a1",8.4,"1.23e-03",2.91,"standard.yoked vs. standard.trained","standard.trained"
"656","DG","Coq10b",2.1,"1.46e-03",2.83,"standard.yoked vs. standard.trained","standard.trained"
"657","DG","Cpeb2",1.21,"6.25e-02",1.2,"standard.yoked vs. standard.trained","standard.trained"
"658","DG","Cpeb4",0.87,"1.55e-02",1.81,"standard.yoked vs. standard.trained","standard.trained"
"659","DG","Csrnp1",2.23,"5.68e-05",4.25,"standard.yoked vs. standard.trained","standard.trained"
"660","DG","Ctnnd1",1.16,"3.95e-02",1.4,"standard.yoked vs. standard.trained","standard.trained"
"661","DG","Cwc25",1.64,"6.14e-03",2.21,"standard.yoked vs. standard.trained","standard.trained"
"662","DG","Cxadr",1.69,"2.44e-03",2.61,"standard.yoked vs. standard.trained","standard.trained"
"663","DG","Cyp51",1.29,"2.87e-02",1.54,"standard.yoked vs. standard.trained","standard.trained"
"664","DG","Dact1",1.47,"1.23e-03",2.91,"standard.yoked vs. standard.trained","standard.trained"
"665","DG","Dbpht2",1.89,"2.18e-06",5.66,"standard.yoked vs. standard.trained","standard.trained"
"666","DG","Dcn",6.89,"4.54e-02",1.34,"standard.yoked vs. standard.trained","standard.trained"
"667","DG","Ddx3x",0.7,"4.88e-02",1.31,"standard.yoked vs. standard.trained","standard.trained"
"668","DG","Dnaja1",1.05,"1.30e-05",4.88,"standard.yoked vs. standard.trained","standard.trained"
