,Npas4,Prkcz,Nsf,Fmr1,gene
Coq2,0,256,955,877,Coq2
Cox7a2l,0,278,691,768,Cox7a2l
Cpeb4,1000,0,0,0,Cpeb4
Crebzf,1000,0,0,0,Crebzf
Crlf3,0,178,877,967,Crlf3
Csnk1a1,1000,0,0,0,Csnk1a1
Ctf1,0,846,230,121,Ctf1
Ctnnd1,1000,0,0,0,Ctnnd1
Cul3,1000,0,0,0,Cul3
Cul9,1000,0,0,0,Cul9
Cwc25,1000,0,0,0,Cwc25
Cxadr,1000,0,0,0,Cxadr
Cyp11a1,0,489,486,580,Cyp11a1
Cyp2t4,0,256,955,877,Cyp2t4
D130040H23Rik,0,156,847,960,D130040H23Rik
Dars,0,411,718,655,Dars
Dbpht2,1000,0,0,0,Dbpht2
Dck,0,228,919,895,Dck
Dcun1d3,1000,0,0,0,Dcun1d3
Depdc7,0,877,266,151,Depdc7
Dhrs7,0,277,730,811,Dhrs7
Dhx16,1,789,94,87,Dhx16
Diras1,623,52,332,366,Diras1
Dlk1,0,0,0,0,Dlk1
Dlx5,0,859,181,67,Dlx5
Dmxl1,0,489,455,534,Dmxl1
Dnaja1,1000,0,0,0,Dnaja1
Dnaja4,1000,0,0,0,Dnaja4
Dnajb1,1000,0,0,0,Dnajb1
Dock7,0,190,883,904,Dock7
Dpm3,0,888,291,172,Dpm3
Dpyd,0,469,800,668,Dpyd
Dscc1,0,0,0,1,Dscc1
Dusp10,0,292,987,855,Dusp10
Dusp14,0,150,831,923,Dusp14
Dusp16,1000,0,0,0,Dusp16
Dusp2,0,766,67,115,Dusp2
Dusp4,1000,0,0,0,Dusp4
Dusp6,1000,0,0,0,Dusp6
Dusp8,1000,0,0,0,Dusp8
Dyrk2,0,162,857,953,Dyrk2
Edar,0,0,0,0,Edar
Egflam,0,832,313,220,Egflam
Egr1,1000,0,0,0,Egr1
Egr2,99,232,746,742,Egr2
Egr3,1000,0,0,0,Egr3
Egr4,1000,0,0,0,Egr4
Eif1a,0,490,787,653,Eif1a
Eif2b1,0,262,961,885,Eif2b1
Eif2s1,0,270,665,777,Eif2s1
Eif5,1000,0,0,0,Eif5
Elavl1,0,330,759,717,Elavl1
Epc1,0,165,856,943,Epc1
Ephx2,58,230,672,753,Ephx2
Eprs,1000,0,0,0,Eprs
Errfi1,1000,0,0,0,Errfi1
Esm1,0,172,871,971,Esm1
Extl1,0,798,149,91,Extl1
F13a1,0,0,0,0,F13a1
Fam118a,1000,0,0,0,Fam118a
Fam122a,0,537,728,613,Fam122a
Fam150b,0,885,286,163,Fam150b
Fam174b,0,171,870,972,Fam174b
Fam189a2,0,171,868,972,Fam189a2
Fam53c,1000,0,0,0,Fam53c
Fam57a,247,169,723,677,Fam57a
Fam78a,0,880,261,138,Fam78a
Fbl,1000,0,0,0,Fbl
Fbxl2,562,127,401,394,Fbxl2
Fbxl4,0,260,959,887,Fbxl4
Fbxl6,0,170,869,967,Fbxl6
Fbxo18,0,267,966,880,Fbxo18
Fbxo33,1000,0,0,0,Fbxo33
Fbxo34,1000,0,0,0,Fbxo34
Fbxo42,0,235,751,835,Fbxo42
Fbxw7,1000,0,0,0,Fbxw7
Fdx1l,621,224,102,76,Fdx1l
Fgf8,0,777,268,202,Fgf8
Fkbp6,0,0,0,0,Fkbp6
Flrt3,1000,0,0,0,Flrt3
Fmr1,0,173,846,1000,Fmr1
Fos,1000,0,0,0,Fos
Fosb,1000,0,0,0,Fosb
Fosl2,1000,0,0,0,Fosl2
Foxg1,0,161,858,954,Foxg1
Foxk1,0,875,364,238,Foxk1
Foxo1,1000,0,0,0,Foxo1
Frat2,0,217,916,930,Frat2
Frmd6,1000,0,0,0,Frmd6
Fto,0,795,96,79,Fto
Fut7,0,846,230,121,Fut7
Fxyd2,0,642,420,439,Fxyd2
Fzd4,0,163,862,960,Fzd4
Fzd5,941,24,46,56,Fzd5
Gabra4,1000,0,0,0,Gabra4
Gadd45b,1000,0,0,0,Gadd45b
Gadd45g,1000,0,0,0,Gadd45g
Gas2,0,615,292,372,Gas2
Gata3,96,763,65,14,Gata3
Gatad2b,984,8,0,0,Gatad2b
Gch1,1000,0,0,0,Gch1
Gcm1,0,149,776,876,Gcm1
Gcnt2,1000,0,0,0,Gcnt2
Gdpd5,0,596,381,457,Gdpd5
Gemin4,0,848,161,62,Gemin4
Gimap8,0,166,863,959,Gimap8
Gipc3,0,0,0,1,Gipc3
Glce,0,170,869,967,Glce
Glrx3,0,269,968,878,Glrx3
Glt28d2,0,810,111,109,Glt28d2
Glyr1,385,580,25,11,Glyr1
Gm10130,0,846,230,121,Gm10130
Gm10184,0,0,1,1,Gm10184
Gm10250,0,313,778,779,Gm10250
Gm10696,0,846,230,121,Gm10696
Gm13889,1000,0,0,0,Gm13889
Gm14685,1000,0,0,0,Gm14685
Gm20425,0,846,230,121,Gm20425
Gm21830,0,777,268,202,Gm21830
Gm28036,0,258,957,876,Gm28036
Gm3854,0,626,325,395,Gm3854
Gm43786,0,0,0,0,Gm43786
Gm45140,0,610,283,367,Gm45140
Gm4847,0,863,344,237,Gm4847
Gm7276,0,846,230,121,Gm7276
Gm7694,1000,0,0,0,Gm7694
Gm973,0,852,153,52,Gm973
Gm9925,0,257,956,877,Gm9925
Gmeb2,1000,0,0,0,Gmeb2
Gmppb,0,823,124,49,Gmppb
Gnb1l,0,774,83,140,Gnb1l
Gphn,0,263,962,884,Gphn
Gpr157,137,757,61,14,Gpr157
Gpr19,1000,0,0,0,Gpr19
Gpr22,1000,0,0,0,Gpr22
Gprc5b,456,334,272,220,Gprc5b
Grasp,0,589,270,366,Grasp
Grb2,0,160,853,929,Grb2
Gria1,0,919,312,186,Gria1
Gria2,41,563,372,446,Gria2
Grin1,0,590,426,499,Grin1
Gstm2,0,0,0,0,Gstm2
Gstm5,0,824,148,37,Gstm5
Gstp1,0,248,947,899,Gstp1
Gyg,0,170,869,967,Gyg
H2-DMb1,3,872,175,57,H2-DMb1
H2-Q10,0,863,344,237,H2-Q10
Haghl,0,316,581,652,Haghl
Harbi1,0,886,345,222,Harbi1
Has2,0,865,166,49,Has2
Hexa,1000,0,0,0,Hexa
Hilpda,103,746,48,22,Hilpda
Hipk3,0,188,887,959,Hipk3
Hist1h1d,37,806,131,33,Hist1h1d
Hist1h3i,0,173,872,972,Hist1h3i
Hmgcr,1000,0,0,0,Hmgcr
