R,G,B,hex_val,hls_val,gene
0.0,0.0,0.0,#000000,#666666,1190002N15Rik
0.04882800000000004,0.045864000000000044,0.009828000000000009,#0c0c03,#aaa022,1500009C09Rik
0.110236,0.118296,0.03162,#1c1e08,#96a12b,1700028J19Rik
0.0,0.0,0.0,#000000,#666666,2010111I01Rik
0.174,0.16031199999999998,0.064496,#2c2910,#958937,2410015M20Rik
0.10012199999999999,0.10622699999999999,0.028637999999999997,#1a1b07,#97a12b,2700060E02Rik
0.0,0.0,0.0,#000000,#666666,4930415O20Rik
0.18963,0.130032,0.5178060000000001,#302184,#3c29a3,4930430F08Rik
0.028594000000000026,0.02525900000000002,0.004988000000000004,#070601,#ae991e,4930444P10Rik
0.04378000000000004,0.03766400000000003,0.007084000000000006,#0b0a02,#b0971c,5730480H06Rik
0.0,0.0,0.0,#000000,#666666,8430408G22Rik
0.09109999999999999,0.09459999999999998,0.024699999999999993,#171806,#9ca22a,9030612E09Rik
0.10947,0.119187,0.03321,#1c1e08,#93a02c,9530077C05Rik
0.182357,0.262472,0.658469,#2f43a8,#2f43a8,9830107B12Rik
0.0,0.0,0.0,#000000,#666666,A830010M20Rik
0.23360399999999998,0.18370799999999998,0.32942699999999997,#3c2f54,#5d4983,A930004D18Rik
0.029610000000000025,0.026100000000000022,0.005130000000000005,#080701,#ae991e,A930011G23Rik
0.0,0.0,0.0,#000000,#666666,AI467606
0.0195,0.123825,0.8053499999999999,#0520cd,#0520cd,AI846148
0.20473999999999998,0.21956599999999998,0.314876,#343850,#50567c,AI854703
0.19481600000000002,0.13469699999999998,0.543354,#32228b,#3b29a3,Aaed1
0.09533999999999998,0.09985499999999999,0.026459999999999997,#181907,#9aa12b,Aard
0.030784,0.118326,0.7907639999999999,#081eca,#081eca,Abca7
0.0,0.0,0.0,#000000,#666666,Abra
0.018677,0.015728,0.013762,#050404,#756357,Acan
0.106386,0.11483499999999999,0.031654,#1b1d08,#94a02c,Acp7
0.06810999999999995,0.05837999999999996,0.013019999999999992,#110f03,#ab9321,Actr10
0.001978,0.002967,0.24032699999999999,#01013d,#0202ca,Actr3
0.055695999999999996,0.043424,0.022656,#0e0b06,#91713b,Adamts1
0.11328,0.124672,0.0352,#1d2009,#919f2d,Adamts10
0.07212699999999997,0.06683399999999996,0.012086999999999994,#121103,#afa21d,Adamtsl5
0.10057,0.07832,0.65148,#1a14a6,#1c16b6,Adgra2
0.00198,0.03762,0.5712299999999999,#010a92,#010dcb,Adrb1
0.03332,0.12185599999999999,0.7873039999999999,#081fc9,#081fc9,Agpat4
0.112522,0.123571,0.034798,#1d2009,#919f2d,Agpat9
0.0,0.0,0.0,#000000,#666666,Ahr
0.10947,0.117465,0.031488,#1c1e08,#96a12b,Ahsa2
0.0,0.0,0.0,#000000,#666666,Aif1
0.03164800000000003,0.027840000000000024,0.0054720000000000055,#080701,#ae991e,Aim1l
0.111,0.12125,0.033875,#1c1f09,#929f2d,Akap10
0.0,0.0,0.0,#000000,#666666,Akirin1
0.011736,0.011736,0.07335,#030313,#1c1cb0,Akt1
0.20573700000000006,0.18876900000000002,0.08120400000000001,#343015,#92863a,Amd2
0.032670000000000025,0.028677000000000025,0.005610000000000006,#080701,#ae991e,Amigo2
0.20524,0.24472000000000002,0.11956000000000001,#343e1e,#738943,Anapc10
0.0,0.0,0.0,#000000,#666666,Ankar
0.0,0.0,0.0,#000000,#666666,Ankrd13c
0.218079,0.24585599999999996,0.36169199999999996,#383f5c,#4d577f,Ankrd27
0.0,0.0,0.0,#000000,#666666,Ankrd33b
0.03574800000000003,0.031176000000000027,0.006156000000000006,#090802,#ae981e,Anks1b
0.044927999999999996,0.054288,0.143208,#0b0e25,#313b9b,Ap1ar
0.12638700000000003,0.11264600000000001,0.03880700000000001,#201d0a,#9c8b30,Ap1b1
0.0,0.0,0.0,#000000,#666666,Apaf1
0.22563,0.24632999999999997,0.12488999999999999,#3a3f20,#7c8745,Aprt
0.04558600000000004,0.039284000000000034,0.007314000000000006,#0c0a02,#b0971c,Aqp4
0.04300000000000004,0.03693700000000003,0.007052000000000006,#0b0902,#af971d,Arc
0.10947,0.117711,0.031734,#1c1e08,#95a12b,Areg
0.226314,0.210276,0.325512,#3a3653,#56507c,Arglu1
0.108702,0.11650999999999999,0.031232,#1c1e08,#96a12b,Arhgap39
0.15115800000000004,0.13044900000000004,0.04531200000000001,#27210c,#9d872f,Arhgef15
0.0,0.0,0.0,#000000,#666666,Arid1a
