,gene,PCOR,P_pv,SCOR,S_pv,XI_ori,XI_new,XI_pv,SIGMA_ori,SIGMA,Z_pv,PCOR2,SCOR2
0,0610007P14Rik,-0.008682938339479217,0.9764979678413354,-0.08131868131868132,0.7822747512440957,0.9175824175824175,0.9999999909337831,2.841628898853088e-08,0.921178712839047,1.003300906906286,3.8223170293169287e-07,0.008682938339479217,0.08131868131868132
1,0610009B22Rik,0.35250722763596887,0.21640174714487184,0.3142857142857143,0.27380490296286775,0.9230769230769231,0.9999999915381977,2.3673439430993426e-08,0.9751135913939676,1.0482249249471591,1.759117444129114e-07,0.35250722763596887,0.3142857142857143
2,0610009L18Rik,-0.3181214508758412,0.2676730580249147,-0.253865608885049,0.38114190466105136,0.9142857142857143,0.9999999905711344,3.1691074209305725e-08,0.9488762378316339,1.0317207609216972,2.91716969722955e-07,0.3181214508758412,0.253865608885049
3,0610009O20Rik,0.034923930244401886,0.9056517298216152,0.410989010989011,0.14433266812460507,0.9373626373626374,0.9999999931096752,1.4654749191933547e-08,1.023504118739717,1.0811623159235046,7.003433044730989e-08,0.034923930244401886,0.410989010989011
4,0610010F05Rik,0.27716388096357897,0.33738698572326337,0.24835164835164836,0.39191953893845743,0.921978021978022,0.9999999914173149,2.4556034317058106e-08,0.9548413555400116,1.0303778549996165,2.319668657002955e-07,0.27716388096357897,0.24835164835164836
5,0610010K14Rik,-0.13450099599168425,0.6466442249142456,-0.015384615384615385,0.9583697893719862,0.9461538461538461,0.9999999940767383,1.0871885836039041e-08,0.9462789160613526,1.0001183302709782,1.5689913004116882e-07,0.13450099599168425,0.015384615384615385
6,0610012G03Rik,-0.31682565142300795,0.2697352922064138,-0.39780219780219783,0.1589507745108348,0.9406593406593406,0.9999999934723239,1.3106439822330174e-08,1.021316103733768,1.0762186467074926,6.735405411215818e-08,0.31682565142300795,0.39780219780219783
7,0610030E20Rik,0.1084899977928585,0.7119946709438191,-0.08131868131868132,0.7822747512440957,0.9230769230769231,0.9999999915381977,2.3673439430993426e-08,0.9266518946446768,1.0033009075087118,3.202303247855205e-07,0.1084899977928585,0.08131868131868132
8,0610037L13Rik,-0.43492280280283413,0.12014462493003887,-0.44175824175824174,0.11377750302872344,0.9472527472527472,0.9999999941976212,1.047165532064298e-08,1.0451976422376823,1.093229313802267,4.2616976116604444e-08,0.43492280280283413,0.44175824175824174
9,0610040J01Rik,0.19524740259451828,0.503545511306171,0.18481859368583423,0.5270334730630228,0.9263736263736264,0.9999999919008464,2.1206241984650376e-08,0.9446300906771035,1.0169355418971757,2.406389630257509e-07,0.19524740259451828,0.18481859368583423
10,1110002E22Rik,-0.14558426615922723,0.6194715611399939,0.11208791208791209,0.7028331631967695,0.9065934065934066,0.9999999897249543,4.081709037428993e-08,0.9134961986318637,1.0062622319684547,5.222512016454147e-07,0.14558426615922723,0.11208791208791209
11,1110004E09Rik,-0.1840444252109018,0.5287961820775001,0.12967032967032965,0.658619276321178,0.9120879120879121,0.9999999903293687,3.40743472326821e-08,0.9212593303591008,1.0083721411540232,4.265143380364618e-07,0.1840444252109018,0.12967032967032965
