,R,G,B,hex_val,hls_val,gene,L2
1190002N15Rik,1.0,0.0,0.0,#ff0000,#ff0000,1190002N15Rik,R
Lrrc48,1.0,0.0,0.0,#ff0000,#ff0000,Lrrc48,R
Cldn12,1.0,0.0,0.0,#ff0000,#ff0000,Cldn12,R
Lonrf1,1.0,0.0,0.0,#ff0000,#ff0000,Lonrf1,R
Lbh,1.0,0.0,0.0,#ff0000,#ff0000,Lbh,R
Clptm1l,1.0,0.0,0.0,#ff0000,#ff0000,Clptm1l,R
Clrn1,1.0,0.0,0.0,#ff0000,#ff0000,Clrn1,R
Cnnm1,1.0,0.0,0.0,#ff0000,#ff0000,Cnnm1,R
Cnnm4,1.0,0.0,0.0,#ff0000,#ff0000,Cnnm4,R
Lats1,1.0,0.0,0.0,#ff0000,#ff0000,Lats1,R
L3hypdh,1.0,0.0,0.0,#ff0000,#ff0000,L3hypdh,R
Col10a1,1.0,0.0,0.0,#ff0000,#ff0000,Col10a1,R
Knop1,1.0,0.0,0.0,#ff0000,#ff0000,Knop1,R
Klhl21,1.0,0.0,0.0,#ff0000,#ff0000,Klhl21,R
Klf2,1.0,0.0,0.0,#ff0000,#ff0000,Klf2,R
Kdm6b,1.0,0.0,0.0,#ff0000,#ff0000,Kdm6b,R
Kctd12,1.0,0.0,0.0,#ff0000,#ff0000,Kctd12,R
Cpeb4,1.0,0.0,0.0,#ff0000,#ff0000,Cpeb4,R
Crebzf,1.0,0.0,0.0,#ff0000,#ff0000,Crebzf,R
Jund,1.0,0.0,0.0,#ff0000,#ff0000,Jund,R
Zfp276,0.0,0.3025,0.33625000000000005,#004d56,#00b8cc,Zfp276,G
Il16,0.0,0.302358,0.336162,#004d56,#00b7cc,Il16,G
Cd27,0.0,0.299019,0.192472,#004c31,#00cc83,Cd27,G
Cyp11a1,0.0,0.29812,0.251346,#004c40,#00ccac,Cyp11a1,G
Cc2d1a,0.0,0.295501,0.338448,#004b56,#00b2cc,Cc2d1a,G
Scg3,0.0,0.29301200000000005,0.279837,#004b47,#00ccc3,Scg3,G
Tox4,0.0,0.29275199999999996,0.16963199999999998,#004b2b,#00cc76,Tox4,G
A930004D18Rik,0.0,0.29270799999999997,0.39275599999999994,#004b64,#0098cc,A930004D18Rik,G
Rnf128,0.0,0.29218500000000003,0.34443,#004b58,#00adcc,Rnf128,G
Traip,0.0,0.291856,0.214948,#004a37,#00cc96,Traip,G
Jdp2,0.0,0.29175599999999996,0.21402,#004a37,#00cc96,Jdp2,G
Dmxl1,0.0,0.29102999999999996,0.26650499999999994,#004a44,#00ccbb,Dmxl1,G
Prokr2,0.0,0.29072000000000003,0.39373600000000003,#004a64,#0097cc,Prokr2,G
Grin1,0.0,0.286426,0.33866,#004956,#00adcc,Grin1,G
Rnf149,0.0,0.285,0.206,#004935,#00cc93,Rnf149,G
Rbbp8,0.0,0.284739,0.36818599999999996,#00495e,#009ecc,Rbbp8,G
Otud1,0.0,0.28382399999999997,0.20060399999999998,#004833,#00cc90,Otud1,G
Gdpd5,0.0,0.282883,0.368924,#00485e,#009ccc,Gdpd5,G
Ube2o,0.0,0.281443,0.38527,#004862,#0095cc,Ube2o,G
Pnp,0.0,0.28120399999999995,0.357896,#00485b,#00a0cc,Pnp,G
Gm973,0.0,0.044044,0.721644,#000bb8,#000ccc,Gm973,B
Copg2,0.0,0.034932,0.721644,#0009b8,#000acc,Copg2,B
Nrg2,0.0,0.035219,0.72156,#0009b8,#000acc,Nrg2,B
Iqub,0.0,0.04042,0.72154,#000ab8,#000bcc,Iqub,B
Naa30,0.0,0.041111,0.72154,#000ab8,#000ccc,Naa30,B
Irf9,0.0,0.041376,0.721494,#000bb8,#000ccc,Irf9,B
Has2,0.0,0.040866,0.72141,#000ab8,#000ccc,Has2,B
Cenpf,0.0,0.044095999999999996,0.721344,#000bb8,#000ccc,Cenpf,B
Wbscr16,0.0,0.034008,0.721144,#0009b8,#000acc,Wbscr16,B
Calcrl,0.0,0.046216,0.721144,#000cb8,#000dcc,Calcrl,B
Agpat4,0.0,0.041856,0.721144,#000bb8,#000ccc,Agpat4,B
AI846148,0.014841000000000002,0.021825,0.7210979999999999,#0406b8,#0406c8,AI846148,B
Lat,0.0,0.035875000000000004,0.721,#0009b8,#000acc,Lat,B
Gmppb,0.0,0.042924000000000004,0.7209479999999999,#000bb8,#000ccc,Gmppb,B
Abca7,0.0,0.033326,0.7208939999999999,#0008b8,#0009cc,Abca7,B
Rsrc1,0.0,0.052352,0.720658,#000db8,#000fcc,Rsrc1,B
Banp,0.0,0.05994,0.72009,#000fb8,#0011cc,Banp,B
Glt28d2,0.0,0.096901,0.72009,#0019b8,#001bcc,Glt28d2,B
H2-DMb1,0.0024749999999999998,0.047025,0.7193999999999999,#010cb7,#010dcb,H2-DMb1,B
Bahcc1,0.059532,0.017138,0.718894,#0f04b7,#1005c7,Bahcc1,B
