,hls_val,gene,candy,top
Cldn12,#ff666b,Cldn12,X,X
Clec16a,#668dff,Clec16a,X,X
Clip2,#66ff66,Clip2,X,X
Clptm1l,#ff666c,Clptm1l,X,X
Clrn1,#b766ff,Clrn1,X,X
Cnnm1,#ff666c,Cnnm1,X,X
Cnnm4,#ff669a,Cnnm4,X,X
Coa3,#66ff66,Coa3,X,X
Cog1,#66ff66,Cog1,X,X
Col10a1,#ff666b,Col10a1,X,X
Col15a1,#66ff66,Col15a1,X,X
Comp,#6b6dfa,Comp,X,B
Copg2,#6b66ff,Copg2,X,B
Coq2,#66b8ff,Coq2,X,X
Cox7a2l,#66fff8,Cox7a2l,X,X
Cpeb4,#ff666c,Cpeb4,X,X
Crebzf,#66ff66,Crebzf,X,X
Crlf3,#66ff66,Crlf3,X,X
Csnk1a1,#ff666b,Csnk1a1,X,X
Ctf1,#66ff66,Ctf1,X,X
Ctnnd1,#fe7a67,Ctnnd1,X,X
Cul3,#ff666c,Cul3,X,X
Cul9,#ff6685,Cul9,X,X
Cwc25,#ff666b,Cwc25,X,X
Cxadr,#ff666b,Cxadr,X,X
Cyp11a1,#7a66ff,Cyp11a1,X,X
Cyp2t4,#66ffeb,Cyp2t4,X,X
D130040H23Rik,#66ff66,D130040H23Rik,X,X
Dars,#66ff66,Dars,X,X
Dbpht2,#ff666b,Dbpht2,X,X
Dck,#ff666b,Dck,X,X
Dcun1d3,#f18674,Dcun1d3,X,X
Depdc7,#66ff66,Depdc7,X,X
Dhrs7,#6a67fe,Dhrs7,X,B
Dhx16,#7a8feb,Dhx16,X,X
Diras1,#66ff66,Diras1,X,X
Dlk1,#aee481,Dlk1,X,X
Dlx5,#66ff66,Dlx5,X,X
Dmxl1,#66ff66,Dmxl1,X,X
Dnaja1,#ff666b,Dnaja1,X,X
Dnaja4,#ff666b,Dnaja4,X,X
Dnajb1,#ff666b,Dnajb1,X,X
Dock7,#66ff66,Dock7,X,X
Dpm3,#66ff66,Dpm3,X,X
Dpyd,#66ffeb,Dpyd,X,X
Dscc1,#aee481,Dscc1,X,X
Dusp10,#9ee67f,Dusp10,X,X
Dusp14,#ff666c,Dusp14,X,X
Dusp16,#ff666b,Dusp16,X,X
Dusp2,#66ff66,Dusp2,X,X
Dusp4,#ff666c,Dusp4,X,X
Dusp6,#ff666b,Dusp6,X,X
Dusp8,#ff666c,Dusp8,X,X
Dyrk2,#66ffeb,Dyrk2,X,X
Edar,#67fe67,Edar,X,G
Egflam,#67fe68,Egflam,X,X
Egr1,#ff666b,Egr1,X,X
Egr2,#ff666b,Egr2,X,X
Egr3,#ff666b,Egr3,X,X
Egr4,#ff666b,Egr4,X,X
Eif1a,#6667ff,Eif1a,X,X
Eif2b1,#66ff6d,Eif2b1,X,X
Eif2s1,#66ffaa,Eif2s1,X,X
Eif5,#ff666b,Eif5,X,X
Elavl1,#66d0ff,Elavl1,X,X
Epc1,#66ffeb,Epc1,X,X
Ephx2,#66ffeb,Ephx2,X,X
Eprs,#ff6698,Eprs,X,X
Errfi1,#ff666b,Errfi1,X,X
Esm1,#66ffeb,Esm1,X,X
Extl1,#7966ff,Extl1,X,X
F13a1,#aee481,F13a1,X,X
Fam118a,#fd7868,Fam118a,X,X
Fam122a,#666fff,Fam122a,X,X
Fam150b,#7966ff,Fam150b,X,X
Fam174b,#66ff66,Fam174b,X,X
Fam189a2,#66ff66,Fam189a2,X,X
Fam53c,#face6b,Fam53c,X,X
Fam57a,#6669ff,Fam57a,X,X
Fam78a,#6666ff,Fam78a,X,X
Fbl,#ff666b,Fbl,X,R
Fbxl2,#ff66b0,Fbxl2,X,X
Fbxl4,#66fff8,Fbxl4,X,X
Fbxl6,#66ff66,Fbxl6,X,X
Fbxo18,#66ffeb,Fbxo18,X,X
Fbxo33,#ff666b,Fbxo33,X,R
Fbxo34,#ff666c,Fbxo34,X,X
Fbxo42,#67fe67,Fbxo42,X,G
Fbxw7,#ff666c,Fbxw7,X,X
Fdx1l,#f167fe,Fdx1l,X,X
Fgf8,#68fd79,Fgf8,X,X
Fkbp6,#68fd79,Fkbp6,X,X
Flrt3,#ff666c,Flrt3,X,X
Fmr1,#b2b2b2,Fmr1,O,X
Fos,#ff666b,Fos,O,X
Fosb,#ff666b,Fosb,X,X
Fosl2,#ff666b,Fosl2,O,X
Foxg1,#ff6688,Foxg1,X,X
Foxk1,#66ff8e,Foxk1,X,X
Foxo1,#ff669a,Foxo1,X,X
Frat2,#66ff6d,Frat2,X,X
Frmd6,#ff666b,Frmd6,X,X
Fto,#6967fe,Fto,X,B
Fut7,#68fd7b,Fut7,X,X
Fxyd2,#66ff66,Fxyd2,X,X
Fzd4,#66ff66,Fzd4,X,X
Fzd5,#ff666b,Fzd5,X,X
Gabra4,#66ff66,Gabra4,X,X
Gadd45b,#67fe7b,Gadd45b,X,X
Gadd45g,#ff666c,Gadd45g,X,X
Gas2,#66ff66,Gas2,X,X
Gata3,#c78fd6,Gata3,X,X
Gatad2b,#66daff,Gatad2b,X,X
Gch1,#6afe67,Gch1,X,X
Gcm1,#66ff66,Gcm1,X,X
Gcnt2,#ff666c,Gcnt2,X,X
Gdpd5,#66ff66,Gdpd5,X,X
Gemin4,#66b6ff,Gemin4,X,X
Gimap8,#66f8ff,Gimap8,X,X
Gipc3,#67fe67,Gipc3,X,G
Glce,#6df8f8,Glce,X,X
Glrx3,#66ff66,Glrx3,X,X
Glt28d2,#6a66ff,Glt28d2,X,B
Glyr1,#a466ff,Glyr1,X,X
Gm10130,#67fe79,Gm10130,X,X
Gm10184,#aee481,Gm10184,X,X
Gm10250,#6a67fe,Gm10250,X,B
Gm10696,#67fe79,Gm10696,X,X
Gm13889,#ff666b,Gm13889,X,X
