,hls_val,gene,candy,top
Tmem119,#666aff,Tmem119,X,B
Tmem151b,#66ff66,Tmem151b,X,X
Tmem167,#8766ff,Tmem167,X,X
Tmem201,#66ffeb,Tmem201,X,X
Tmem253,#68fd7b,Tmem253,X,X
Tmem39a,#66ffeb,Tmem39a,X,X
Tmem47,#ff666c,Tmem47,X,X
Tmem50a,#66f8ff,Tmem50a,X,X
Tmem8b,#ff666c,Tmem8b,X,X
Tmprss9,#66ff66,Tmprss9,X,X
Tmx4,#6669ff,Tmx4,X,X
Tnfrsf23,#66f8ff,Tnfrsf23,X,X
Tnip2,#ff66a6,Tnip2,X,X
Toe1,#68fe67,Toe1,X,X
Tox4,#66f8ff,Tox4,X,X
Tra2b,#ff666b,Tra2b,X,X
Traip,#66f8ff,Traip,X,X
Trappc6b,#ff66b3,Trappc6b,X,X
Trhr,#66b3ff,Trhr,X,X
Trib1,#ff666b,Trib1,X,X
Trim11,#ba66ff,Trim11,X,X
Trp53inp2,#fd686a,Trp53inp2,X,X
Tsen54,#ff666b,Tsen54,X,X
Tspan33,#68fe67,Tspan33,X,X
Tuba1b,#66ff66,Tuba1b,X,X
Tubb2a,#66ff66,Tubb2a,X,X
Tubb3,#66ff66,Tubb3,X,X
Tubb4a,#66ff66,Tubb4a,X,X
Tubb4b,#66ff66,Tubb4b,X,X
Txnip,#66ffeb,Txnip,X,X
U2af1l4,#ff666b,U2af1l4,X,X
Uba3,#b2b2b2,Uba3,X,X
Ubc,#ff666b,Ubc,X,X
Ube2a,#66ff66,Ube2a,X,X
Ube2d3,#6debf8,Ube2d3,X,X
Ube2l6,#66f8ff,Ube2l6,X,X
Ube2o,#66ff68,Ube2o,X,G
Unc5a,#ff666b,Unc5a,X,X
Uncx,#66ffeb,Uncx,X,X
Uqcrc2,#66ff6a,Uqcrc2,X,X
Urb1,#6666ff,Urb1,X,X
Usp17lc,#fb6a80,Usp17lc,X,X
Usp27x,#ff666b,Usp27x,X,X
Usp36,#fc6969,Usp36,X,X
Uspl1,#ff6866,Uspl1,X,X
Vamp1,#66f8ff,Vamp1,X,X
Veph1,#ff66b2,Veph1,X,X
Vmn1r63,#66ffeb,Vmn1r63,X,X
Vmn2r10,#aee481,Vmn2r10,X,X
Vwa3b,#6b66ff,Vwa3b,X,B
Wbscr16,#67fe7b,Wbscr16,X,X
Wdfy2,#66ff7f,Wdfy2,X,X
Wdr26,#66ffeb,Wdr26,X,X
Wdr34,#66ff6a,Wdr34,X,X
Wdr45b,#6df8f8,Wdr45b,X,X
Wdr83,#66fcff,Wdr83,X,X
Wwc1,#ffe466,Wwc1,O,X
Zbtb11,#fdb668,Zbtb11,X,X
Zbtb21,#ef76cd,Zbtb21,X,X
Zbtb33,#ff6691,Zbtb33,X,X
Zbtb41,#66ff66,Zbtb41,X,X
Zc3h11a,#66ff66,Zc3h11a,X,X
Zc3h12c,#66f8ff,Zc3h12c,X,X
Zc3h6,#7966ff,Zc3h6,X,X
Zdbf2,#66ff66,Zdbf2,X,X
Zdhhc2,#66ff66,Zdhhc2,X,X
Zfand5,#ff666b,Zfand5,X,X
Zfp207,#ff666c,Zfp207,X,X
Zfp24,#ff666b,Zfp24,X,X
Zfp26,#66f8ff,Zfp26,X,X
Zfp276,#7a67fe,Zfp276,X,X
Zfp281,#ff666b,Zfp281,X,X
Zfp385b,#7a86eb,Zfp385b,X,X
Zfp52,#66fff8,Zfp52,X,X
Zfp553,#66ff66,Zfp553,X,X
Zfp59,#66fff8,Zfp59,X,X
Zfp654,#66ff66,Zfp654,X,X
Zfp655,#ff666c,Zfp655,X,X
Zfp668,#66ff66,Zfp668,X,X
Zfp799,#ff666c,Zfp799,X,X
Zfp804b,#66ffeb,Zfp804b,X,X
Zfp869,#66ffeb,Zfp869,X,X
Zfp87,#66ff66,Zfp87,X,X
Zfp937,#ff66cd,Zfp937,X,X
Zfp950,#ff666c,Zfp950,X,X
Zfp994,#66ff68,Zfp994,X,G
Zkscan8,#ff666c,Zkscan8,X,X
Zmym2,#66ffd4,Zmym2,X,X
Zranb1,#66ffc1,Zranb1,X,X
Zscan2,#ac66ff,Zscan2,X,X
