,R,G,B,hex_val,gene,candy
Shc4,0.6958643859649122,0.40022426900584795,0.7022913450292398,#b166b3,Shc4,X
Shmt2,0.36004,0.6363497674418606,0.6237902325581396,#5ca29f,Shmt2,X
Siah2,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Siah2,X
Sik1,0.9795728944820911,0.4011215488867377,0.4191255566311714,#fa666b,Sik1,X
Slc14a1,0.4102,0.9856,0.4042,#69fb67,Slc14a1,X
Slc16a1,0.9806224732229796,0.39996000000000004,0.4192375267770205,#fa666b,Slc16a1,X
Slc18a2,0.9794541382667965,0.39996000000000004,0.42040586173320355,#fa666b,Slc18a2,X
Slc18b1,0.36092,0.9023,0.36092,#5ce65c,Slc18b1,X
Slc20a2,0.36076,0.8767306976744186,0.3859293023255815,#5ce062,Slc20a2,X
Slc23a4,0.3874,0.3874,0.9685,#6363f7,Slc23a4,X
Slc25a25,0.9788699707887051,0.39996000000000004,0.4209900292112951,#fa666b,Slc25a25,X
Slc2a3,0.9788699707887051,0.39996000000000004,0.4209900292112951,#fa666b,Slc2a3,X
Slc2a5,0.39932,0.6068216314199396,0.7907983685800604,#669bca,Slc2a5,X
Slc35c2,0.36084000000000005,0.9021,0.36084000000000005,#5ce65c,Slc35c2,X
Slc36a4,0.4117371569595262,0.6393850345508391,0.7458178084896346,#69a3be,Slc36a4,X
Slc5a10,0.5915915915915916,0.7351351351351352,0.4732732732732733,#97bb79,Slc5a10,X
Slc6a6,0.8728749304174951,0.52340689860835,0.4035381709741551,#df8567,Slc6a6,X
Slc7a15,0.40456772908366534,0.43438844621513945,0.9574438247011953,#676ff4,Slc7a15,X
Slco2a1,0.4002843548387097,0.6927920967741935,0.7054835483870968,#66b1b4,Slco2a1,X
Smad7,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Smad7,X
Smc1b,0.36076,0.8767306976744186,0.3859293023255815,#5ce062,Smc1b,X
Smg9,0.7466957894736841,0.40022426900584795,0.6514599415204678,#be66a6,Smg9,X
Smndc1,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Smndc1,X
Snrpd2,0.3608,0.889413953488372,0.37338604651162793,#5ce35f,Snrpd2,X
Snx18,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Snx18,X
Snx4,0.36008,0.6615423255813954,0.5987376744186047,#5ca999,Snx4,X
Sorcs2,0.36044000000000004,0.7753651162790698,0.48617488372093026,#5cc67c,Sorcs2,X
