,cluster
Mapre1,0
March11,0
Mcl1,0
Mea1,1
Mest,0
Mettl7a1,1
Mfap1a,1
Mfap3l,1
Mgst3,3
Minpp1,0
Mis12,0
Mkks,3
Mmp12,20
Mn1,1
Mobp,3
Mrpl42,1
Mrps16,0
Mrps23,0
Mrps26,1
Msmo1,3
Mtch2,0
Mtrf1,1
Myd88,1
Myeov2,1
Myl12b,1
Myom1,1
Naa30,3
Nab2,3
Naf1,1
Nap1l5,0
Ndnl2,0
Ndufs4,0
Ndufs5,1
Ndufv1,0
Necap1,1
Neurl4,3
Neurod2,0
Nexn,0
Nfam1,3
Nfil3,1
Ngrn,0
Nkrf,0
Nkx2-2,0
Npas4,0
Nppa,1
Nptx2,0
Npy1r,1
Npy5r,0
Nr2f1,0
Nr4a1,0
Nr4a2,0
Nr4a3,0
Nrg2,3
Nrip1,1
Nsf,1
Nsmaf,1
Ntpcr,1
Nuak1,1
Nuf2,3
Numb,0
Nup50,1
Nupr1,1
Odf4,21
Olfml2b,1
Olfr635,22
Orc5,1
Otog,1
Otud1,1
Oxr1,3
Pak6,1
Palb2,1
Parg,3
Pcdh8,0
Pdia4,1
Peli1,0
Per1,0
Phlda1,1
Phtf1,3
Pick1,1
Pigb,0
Pigm,0
Pira2,23
Pkd1,1
Plagl1,0
Pld6,3
Plekho1,0
Plk2,0
Plk3,3
Pmm2,3
Pnp,1
Pnpt1,1
Poc5,1
Polr2d,0
Ppat,0
Ppic,3
Ppm1d,0
Ppp1r15a,0
Ppp2r2a,1
Ppp6c,1
Prep,1
Prickle2,0
Prkcb,1
Prkci,1
Prkcz,3
Prmt3,1
Prnp,1
Prokr2,1
Prom2,24
Prpf38b,0
Prr15,1
Psmb8,3
Psmc3,0
Ptger4,1
Ptgs2,0
Ptpn22,3
Pxn,1
Rab11fip2,1
Rab2a,1
Rab39b,0
Rab3b,1
Raf1,1
Ranbp2,0
Rasd1,0
Rasl11a,1
Rbbp5,0
Rbbp8,1
Rbm38,1
Rbp4,0
Rbsn,1
Rdh16,1
Rfc5,3
Rfx2,0
Rfx7,0
Rgmb,0
Rgs2,0
Rgs4,0
Ripk3,25
Rnf128,1
Rnf138rt1,1
Rnf149,1
Rnft1,0
Rnpc3,0
Rom1,1
Rora,0
Rorb,1
Rpl21-ps4,26
Rpl36a,0
Rpp21,1
Rsbn1l,1
Rsrc1,3
Rundc1,1
Samd11,3
Samm50,3
Sbds,1
Scd3,1
Scg2,0
Scg3,1
Scrn1,1
Sdcbp,0
Sebox,3
Sec61b,3
Serp1,1
Sf3b1,0
Sgk1,0
Sgpl1,1
Sh2d3c,0
Shc4,3
Shmt2,1
Siah2,0
Sik1,0
Slc14a1,3
Slc16a1,1
Slc18a2,0
Slc18b1,1
Slc20a2,1
Slc23a4,1
Slc25a25,0
Slc2a3,0
Slc2a5,3
Slc35c2,1
Slc36a4,1
Slc5a10,27
Slc6a6,0
Slc7a15,3
Slco2a1,1
Smad7,0
Smc1b,1
Smg9,0
Smndc1,0
Snrpd2,1
Snx18,0
Snx4,0
Sorcs2,1
Sos1,3
Sowahc,1
Spata2l,0
Spcs3,0
Specc1l,1
Spin2c,1
Sptlc2,1
Spty2d1,0
Srek1ip1,1
Srf,0
Srgap1,1
Ssna1,0
Ssxb2,28
Stard3nl,3
Stmn4,1
Stx2,0
Sumf2,3
Suv39h1,1
Syt4,0
Syt5,1
Tada2b,0
Tax1bp1,1
Tbc1d17,1
Tbcel,0
Tceb2,1
Tcta,1
Tdrp,0
Tes,1
Tgfb3,0
Tgs1,0
Thap4,1
Thoc7,3
Tiparp,0
Tlr13,1
Tmed2,1
Tmem119,3
Tmem151b,1
Tmem167,1
Tmem201,1
Tmem253,3
Tmem39a,0
Tmem47,0
Tmem50a,1
Tmem8b,0
Tmprss9,1
Tmx4,3
Tnfrsf23,1
Tnip2,0
Toe1,0
Tox4,1
Tra2b,0
Traip,1
Trappc6b,0
Trhr,1
Trib1,0
Trim11,1
Trp53inp2,0
Tsen54,0
Tspan33,0
Tuba1b,1
Tubb2a,1
Tubb3,1
Tubb4a,0
Tubb4b,1
Txnip,1
U2af1l4,0
Uba3,1
Ubc,0
Ube2a,1
Ube2d3,1
Ube2l6,1
Ube2o,1
Unc5a,0
Uncx,1
Uqcrc2,1
Urb1,3
Usp17lc,29
Usp27x,0
Usp36,0
Uspl1,1
Vamp1,1
Veph1,1
Vmn1r63,1
Vmn2r10,30
Vwa3b,3
Wbscr16,3
Wdfy2,1
Wdr26,1
Wdr34,1
Wdr45b,1
Wdr83,3
Wwc1,0
Zbtb11,0
Zbtb21,0
Zbtb33,0
Zbtb41,3
Zc3h11a,1
Zc3h12c,1
Zc3h6,3
Zdbf2,1
Zdhhc2,3
Zfand5,0
Zfp207,0
Zfp24,0
Zfp26,1
Zfp276,1
Zfp281,0
Zfp385b,3
Zfp52,1
Zfp553,3
Zfp59,1
Zfp654,1
Zfp655,1
Zfp668,0
Zfp799,1
Zfp804b,1
Zfp869,1
Zfp87,3
Zfp937,3
Zfp950,1
Zfp994,0
Zkscan8,1
Zmym2,1
Zranb1,1
Zscan2,3
