,trained,yoked,FC,candy
1700040L02Rik,0.7627965698678223,0.8798269342957333,-0.11703036442791104,X
1700047I17Rik2,4.150718433526413,3.6702844805550696,0.4804339529713437,X
1700048O20Rik,3.6315853780369682,3.25467222326825,0.37691315476871834,X
1700057G04Rik,0.3293709008150567,0.2671773133184337,0.062193587496623015,X
1700061G19Rik,1.83946535596875,2.5296000877482925,-0.6901347317795425,X
1700066B19Rik,1.754735174984059,2.6559250878990928,-0.9011899129150338,X
1700066M21Rik,5.082337120599091,5.391357226519895,-0.309020105920804,X
1700067K01Rik,0.4558776628540242,1.2110797214622728,-0.7552020586082486,X
1700088E04Rik,1.9052854682647653,1.706030903422232,0.19925456484253323,X
1700092M07Rik,0.0,0.6819767655522364,-0.6819767655522364,X
1700093K21Rik,1.0270549668586835,1.5737390204335193,-0.5466840535748358,X
1700102P08Rik,1.618389075892091,2.1633842742229223,-0.5449951983308314,X
1700109H08Rik,2.231427810204568,1.7665985955355712,0.46482921466899674,X
1700112E06Rik,0.7587158026798035,0.3738191017293036,0.38489670095049994,X
1700113H08Rik,0.3812910757638823,0.9004290305844677,-0.5191379548205853,X
1700123L14Rik,0.12484147122227747,0.16893288033491546,-0.044091409112637994,X
1700123O20Rik,4.350728433380365,4.302804471738693,0.04792396164167201,X
1700128F08Rik,5.186083044529012,5.495398395324833,-0.3093153507958215,X
1810009A15Rik,3.2076062850850295,3.3962180332058303,-0.18861174812080073,X
1810010H24Rik,4.500196698130978,4.253908622138574,0.2462880759924042,X
1810011H11Rik,0.29165298958172525,0.0,0.29165298958172525,X
1810011O10Rik,0.9749287424134526,0.4823948796034432,0.49253386281000944,X
1810013L24Rik,7.071840601080495,6.70424784476488,0.3675927563156147,X
1810022K09Rik,4.428309854805168,4.5876210769428,-0.1593112221376325,X
1810024B03Rik,0.5847178258790325,0.40727388674801884,0.1774439391310137,X
1810026J23Rik,7.779623669411987,7.7936498777905845,-0.01402620837859736,X
1810030O07Rik,5.95265027827971,6.270091670034279,-0.31744139175456887,X
1810032O08Rik,3.950057563069051,3.768848413054147,0.181209150014904,X
1810037I17Rik,4.805284875011,4.840169501851679,-0.034884626840678834,X
1810041L15Rik,8.416400776410862,8.111062836729376,0.30533793968148615,X
1810043G02Rik,5.797922462111057,5.792305991706418,0.0056164704046386404,X
1810043H04Rik,3.4731246851243154,3.9660090484620523,-0.4928843633377369,X
1810049J17Rik,3.3642541810453306,2.7776770980723047,0.5865770829730259,X
1810055G02Rik,5.706733520071689,5.314625021181076,0.3921084988906127,X
2010005H15Rik,0.49994999843312316,0.0,0.49994999843312316,X
2010107E04Rik,5.8308769022175895,6.226995704064197,-0.3961188018466073,X
2010107G23Rik,5.2771521293681305,5.2234689670358865,0.05368316233224402,X
2010109A12Rik,0.0,0.40024081953427837,-0.40024081953427837,X
2010109I03Rik,2.0953265921248825,2.702822443878773,-0.6074958517538906,X
2010111I01Rik,6.56173815177907,5.730018368573259,0.831719783205811,X
2010300C02Rik,11.471633042404633,11.419957905382148,0.051675137022485274,X
2010315B03Rik,4.228130060526528,4.329174674721237,-0.10104461419470923,X
2200002D01Rik,0.8879533889217287,0.1963862188608396,0.6915671700608891,X
2210010C04Rik,1.0438767839718903,0.5561978569035778,0.4876789270683125,X
2210013O21Rik,4.288630890425066,5.079310071953253,-0.7906791815281871,X
2210016F16Rik,4.102432665593966,4.543825038950701,-0.4413923733567353,X
2210016L21Rik,7.477038851428134,7.626829572197026,-0.149790720768892,X
2210017I01Rik,1.190505338983467,0.8794833932383727,0.31102194574509434,X
2210408I21Rik,3.514090924990116,2.772621861835349,0.7414690631547671,X
2210418O10Rik,5.118787127276796,4.5746676452287405,0.5441194820480559,X
2300009A05Rik,3.4618455985590844,3.920211372593959,-0.45836577403487455,X
2310009B15Rik,4.288349669169542,4.356646118637996,-0.0682964494684537,X
2310011J03Rik,4.488453741570557,5.6117128873547015,-1.1232591457841448,X
2310022A10Rik,5.523804760835599,5.592495005460141,-0.0686902446245421,X
2310022B05Rik,6.585370593031849,6.648391492045366,-0.0630208990135177,X
2310030G06Rik,0.33260940298087194,0.09193017002669761,0.24067923295417432,X
2310033P09Rik,4.925916298967994,4.953639136240356,-0.027722837272361467,X
2310035C23Rik,7.329135751998782,7.61869816748741,-0.2895624154886276,X
2310036O22Rik,6.737357398919373,6.776581672197796,-0.03922427327842293,X
2310039H08Rik,1.778238801312591,2.398658331124036,-0.620419529811445,X
2310057J18Rik,0.45287434084381456,1.0893269912289816,-0.6364526503851671,X
2310057M21Rik,5.80550744219494,5.63685106745578,0.16865637473916006,X
2310061I04Rik,6.591258785919191,6.655391940711375,-0.0641331547921844,X
2410002F23Rik,6.853585141006355,7.372752646471181,-0.5191675054648259,X
2410004B18Rik,5.006553350575212,5.240721805221143,-0.23416845464593106,X
2410004P03Rik,4.295264307830638,3.6282310855569535,0.6670332222736843,X
2410015M20Rik,5.095365732898877,5.096476828218237,-0.0011110953193602668,X
2410016O06Rik,5.5791418786967855,5.387624536727973,0.19151734196881254,X
2410089E03Rik,7.9293799161762495,8.061395470067067,-0.13201555389081765,X
2410131K14Rik,6.010139103884386,5.579119156384486,0.4310199474998999,X
2410141K09Rik,1.1262390136631155,1.0131438999055435,0.11309511375757197,X
2510002D24Rik,4.5129830374609465,4.933504208686374,-0.42052117122542754,X
2510009E07Rik,6.53834952376595,6.253915652620916,0.28443387114503427,X
2510039O18Rik,6.133850062781139,6.093467498514209,0.04038256426693021,X
2610001J05Rik,4.690957878992973,4.1550059987774555,0.5359518802155172,X
2610002M06Rik,6.414181783465094,6.185673940932695,0.22850784253239897,X
2610008E11Rik,5.953639002583266,6.416893249409075,-0.46325424682580874,X
2610020H08Rik,0.3630864526025758,0.1582722654445699,0.20481418715800592,X
2610021A01Rik,5.480870291054077,5.6162792599973566,-0.13540896894327936,X
2610042L04Rik,1.1474285233848622,1.3061235088736292,-0.15869498548876693,X
2610044O15Rik8,6.237684064326108,6.039431332268518,0.19825273205758975,X
2610301B20Rik,6.366267403268645,6.652179286742599,-0.285911883473954,X
2610318N02Rik,0.20025347005490726,0.09193017002669761,0.10832330002820965,X
2610507B11Rik,9.621098204064838,9.609312629549896,0.011785574514941999,X
2610524H06Rik,4.145840101994428,4.399925553256891,-0.25408545126246285,X
2610528A11Rik,0.3403721915643867,0.0,0.3403721915643867,X
2700049A03Rik,5.296212534295251,5.0627555855834565,0.2334569487117948,X
2700060E02Rik,6.675863128615019,6.618909688107998,0.056953440507021114,X
2700062C07Rik,4.584252038762192,5.027988646409713,-0.4437366076475211,X
2700081O15Rik,7.889748228897178,7.871192496183074,0.018555732714103712,X
2700094K13Rik,2.576396869134989,2.964580511511303,-0.38818364237631364,X
2700097O09Rik,3.234576203160089,3.692486821108241,-0.45791061794815224,X
2810004N23Rik,4.412718338803652,4.213797825576438,0.19892051322721382,X
2810006K23Rik,4.6231468426402795,4.417011428255262,0.2061354143850176,X
2810021J22Rik,4.285662665848973,4.029064304422858,0.25659836142611514,X
2810403A07Rik,7.2810226897421915,7.218734386056364,0.06228830368582727,X
2810417H13Rik,1.7907149984116364,1.7020313051516454,0.08868369325999104,X
2810428I15Rik,4.885320341581235,5.486524248432436,-0.6012039068512003,X
2810459M11Rik,3.794966666371802,4.120635742957446,-0.32566907658564404,X
2810474O19Rik,4.363521391513139,5.127418715801736,-0.7638973242885969,X
2900011O08Rik,8.488728870732212,8.520349274928053,-0.031620404195841445,X
2900026A02Rik,7.6619537104220194,7.618611365995311,0.04334234442670848,X
2900055J20Rik,5.632394075165927,5.208477515203544,0.4239165599623833,X
3010026O09Rik,3.631363504453484,3.282406215855914,0.34895728859757025,X
3110001I22Rik,2.8173289609902787,3.0339384304615344,-0.2166094694712557,X
3110002H16Rik,5.7509190320223045,6.044358625504401,-0.2934395934820966,X
3110009E18Rik,1.229810954311381,1.045069828643175,0.1847411256682061,X
3110018I06Rik,0.4536364511231142,0.3273502303647165,0.12628622075839768,X
3110021N24Rik,1.8562150533770065,1.181483480050475,0.6747315733265316,X
3110035E14Rik,6.869486017692693,7.048306718864574,-0.17882070117188142,X
3110040N11Rik,2.527573061037787,3.255293957112132,-0.7277208960743451,X
3110043O21Rik,6.089127477683505,6.250868039420758,-0.16174056173725315,X
3110062M04Rik,2.842257773204135,2.9889226614049256,-0.1466648882007906,X
3110070M22Rik,1.512232307725232,0.8791822633317407,0.6330500443934913,X
3110079O15Rik,0.8450212590419304,0.33016463285906966,0.5148566261828607,X
3110082I17Rik,4.8704238373807165,3.869575863773864,1.0008479736068523,X
3110082J24Rik,1.0331452858518093,1.5449024270888074,-0.5117571412369981,X
3300002I08Rik,1.2084152432864812,1.155741109907095,0.05267413337938609,X
3425401B19Rik,2.1381432320695213,1.2814456275555526,0.8566976045139687,X
3632451O06Rik,1.7254270342659805,2.4980181878033783,-0.7725911535373977,X
3830406C13Rik,3.9550296825137345,4.61476721744588,-0.659737534932145,X
3830408C21Rik,1.2195447208307901,1.936222811839885,-0.7166780910090949,X
4430402I18Rik,4.705961536620041,4.542270066521837,0.16369147009820395,X
4833420G17Rik,6.792480737105875,6.666476350288245,0.12600438681763038,X
4833423E24Rik,0.4970928464945983,0.3443148229143831,0.1527780235802152,X
4833439L19Rik,7.691255427499362,7.581442960093406,0.1098124674059564,X
4921501E09Rik,0.27627143428917234,0.2699013740708193,0.006370060218353013,X
4921507P07Rik,0.8161230479856889,0.3591074833451313,0.4570155646405576,X
4921509C19Rik,0.13711539949926976,0.0,0.13711539949926976,X
4921513D11Rik,0.9123622712995212,0.48843689830363957,0.4239253729958816,X
4921513I03Rik,1.243490383391728,2.051360472029526,-0.8078700886377981,X
4921524J17Rik,4.573918998107611,5.2407193617645,-0.6668003636568889,X
4921528I07Rik,0.2596081789369281,0.39386089742908625,-0.13425271849215814,X
4921530L21Rik,0.19790890990295532,0.09193017002669761,0.10597873987625771,X
4921536K21Rik,1.5693124430897223,1.3667380399538513,0.20257440313587094,X
4930402H24Rik,7.895243039353168,8.099947072945632,-0.20470403359246436,X
4930404N11Rik,2.0162155278170606,2.9984420445632813,-0.9822265167462207,X
4930415F15Rik,0.07301464222405545,0.09193017002669761,-0.018915527802642162,X
4930415O20Rik,0.0,0.19834622976152916,-0.19834622976152916,X
4930426L09Rik,0.531537422106969,0.6116506356395596,-0.0801132135325906,X
4930427A07Rik,1.0317598602891833,1.8945954680899433,-0.86283560780076,X
4930430A15Rik,0.6220822976056475,0.8582512316932203,-0.23616893408757278,X
4930430F08Rik,3.7897744453748103,4.901034587802713,-1.111260142427903,X
4930432K21Rik,2.0214861506551065,1.5915285821889056,0.4299575684662009,X
4930442H23Rik,0.5002948141368706,0.26086305036161306,0.23943176377525754,X
4930444G20Rik,0.24598271446616,0.0,0.24598271446616,X
4930444P10Rik,2.383140668860973,1.5838521419288016,0.7992885269321712,X
4930447A16Rik,0.25144370020616336,0.26086305036161306,-0.009419350155449702,X
4930447C04Rik,3.7645966670033517,4.035145127391096,-0.27054846038774416,X
4930451G09Rik,1.744421054615132,1.6230959994721956,0.12132505514293634,X
4930452B06Rik,3.937013426788483,3.348368433545667,0.5886449932428159,X
4930453N24Rik,5.257626145189282,5.501071850410775,-0.2434457052214931,X
4930455H04Rik,0.27285228331602995,0.0,0.27285228331602995,X
4930467E23Rik,0.9725755384118977,0.6998087287688178,0.27276680964307987,X
4930474N05Rik,1.6026042523186304,1.028245414943636,0.5743588373749944,X
4930486L24Rik,0.12484147122227747,0.1582722654445699,-0.033430794222292434,X
4930502E18Rik,0.4389534826110405,0.1582722654445699,0.2806812171664706,X
4930503L19Rik,5.667140070873829,5.526840592860182,0.14029947801364706,X
4930505A04Rik,0.25806421989598727,0.2699013740708193,-0.011837154174832054,X
4930507D05Rik,0.6717757355993954,0.5561811461429927,0.11559458945640266,X
4930512M02Rik,3.628189012743828,3.518144987837553,0.11004402490627507,X
4930518I15Rik,1.546234703087094,2.01580485820909,-0.4695701551219962,X
4930519G04Rik,0.6040763820081763,0.0,0.6040763820081763,X
4930522L14Rik,1.3199284807956706,1.985752151438063,-0.6658236706423923,X
4930523C07Rik,0.17131000647415418,0.16893288033491546,0.002377126139238711,X
4930524B15Rik,0.3556342978114952,0.5896261638464728,-0.23399186603497762,X
4930524J08Rik,0.7018857497331902,1.5010181299105385,-0.7991323801773483,X
4930538K18Rik,2.2152274693419507,2.874892609390813,-0.6596651400488622,X
4930539E08Rik,4.130693563260256,4.626114588889735,-0.49542102562947843,X
4930544D05Rik,0.3092045675154995,0.0,0.3092045675154995,X
4930548H24Rik,0.5028302496153941,0.09193017002669761,0.4109000795886965,X
4930550C14Rik,0.12660222898388587,0.09193017002669761,0.034672058957188265,X
4930562C15Rik,4.706210798459878,4.954456236858172,-0.2482454383982935,X
4930563I02Rik,0.8126374498531415,0.595426175652104,0.21721127420103747,X
4930578C19Rik,0.39103207905732684,0.13115848877522382,0.259873590282103,X
4930578G10Rik,3.718178766113824,3.2142354570908735,0.5039433090229504,X
4930579G24Rik,1.375481956500597,2.039975369125347,-0.6644934126247499,X
4930590J08Rik,0.6824745036964517,0.1582722654445699,0.5242022382518818,X
4931406B18Rik,2.488375805743347,2.182960756388296,0.30541504935505115,X
4931406C07Rik,4.499741338079935,4.6441588992704395,-0.14441756119050453,X
4931406P16Rik,6.504504929390368,6.3511942759711175,0.15331065341925054,X
4931414P19Rik,2.0935690594425957,2.5724013341234784,-0.47883227468088263,X
4931422A03Rik,0.9273901052930773,1.4307248328434,-0.5033347275503226,X
4931423N10Rik,0.7754351517719895,1.3101063625183818,-0.5346712107463922,X
4931428F04Rik,5.919358151937929,5.712537080737783,0.20682107120014592,X
4931428L18Rik,3.676174965188795,4.050216814568491,-0.37404184937969553,X
4931429L15Rik,0.9751169119000349,0.8366512522972288,0.1384656596028061,X
4931440F15Rik,1.7655860445625073,1.7668115445211132,-0.0012254999586058801,X
4932411E22Rik,0.3044476997871293,0.0,0.3044476997871293,X
4932411N23Rik,0.6667022195382545,0.2699013740708193,0.39680084546743516,X
4932414N04Rik,3.1070801928207725,2.7050480808825252,0.4020321119382473,X
4932438A13Rik,8.311072001630272,8.324159043654756,-0.013087042024483964,X
4932438H23Rik,0.8735434472168825,0.3760620036550433,0.4974814435618392,X
4932443I19Rik,0.06410075727521433,0.2671773133184337,-0.20307655604321936,X
4933402D24Rik,1.450385397478644,1.2419445669923936,0.2084408304862504,X
4933402N03Rik,0.12660222898388587,0.25290146958721105,-0.12629924060332517,X
4933405L10Rik,0.322856020486565,0.07441344884356377,0.2484425716430012,X
4933406P04Rik,0.2978511035337142,0.0,0.2978511035337142,X
4933407L21Rik,1.032486188440411,1.6084552370379264,-0.5759690485975153,X
4933408B17Rik,0.8787963058806487,2.061546021893037,-1.1827497160123883,X
4933408J17Rik,0.5174040911404335,0.8054134854521696,-0.2880093943117361,X
4933411K16Rik,0.16505076059783938,0.28914212399865963,-0.12409136340082025,X
4933413G19Rik,1.3612329544521278,0.7508058430951009,0.6104271113570269,X
4933415A04Rik,1.888512807444521,1.4657292287296386,0.42278357871488237,X
4933416C03Rik,0.22313683547237623,0.21021231871789312,0.012924516754483112,X
4933424G06Rik,1.6946476519630145,2.07498672677197,-0.3803390748089557,X
4933427D14Rik,6.962819394872439,6.717023895350946,0.2457954995214937,X
4933427I04Rik,3.123224709578803,2.398732483963921,0.724492225614882,X
4933428G20Rik,2.1731914943193287,2.993935467192653,-0.8207439728733243,X
4933430I17Rik,0.4389534826110405,0.21021231871789312,0.2287411638931474,X
4933434E20Rik,6.969865769398066,6.844928826186716,0.12493694321134985,X
5031414D18Rik,1.013527543791745,1.2898109574421488,-0.27628341365040376,X
5031439G07Rik,8.635290245585344,8.259502244927459,0.3757880006578844,X
5330417C22Rik,7.077168061843575,7.201577735666157,-0.12440967382258172,X
5430403G16Rik,3.27419468246403,3.0929741454165804,0.18122053704744934,X
5430416O09Rik,2.8134734275330215,1.653476851626056,1.1599965759069655,X
5430427O19Rik,3.2059128746303474,2.2742388150935198,0.9316740595368276,X
5730409E04Rik,7.086660012385494,7.107057992870172,-0.020397980484678335,X
5730455P16Rik,7.0863166143974095,7.30942692907891,-0.22311031468150055,X
5730480H06Rik,4.337187227336811,3.8051748163389902,0.5320124109978206,X
5730507C01Rik,2.02434622895479,1.6044837622126646,0.4198624667421256,X
5730508B09Rik,1.1240183403276907,0.6392893699592425,0.4847289703684482,X
5730522E02Rik,1.9608535510936624,1.1843396173053946,0.7765139337882678,X
5730559C18Rik,1.471240289838393,2.3175692811280357,-0.8463289912896428,X
5830411N06Rik,0.46697442054827254,1.3345346524003068,-0.8675602318520342,X
5830454E08Rik,0.8779375316232438,1.3934419070811188,-0.515504375457875,X
5930422O12Rik,1.0449595247141148,0.7604196971977152,0.2845398275163996,X
6030419C18Rik,9.16504737722379,9.28992140565399,-0.12487402843020057,X
6030445D17Rik,1.5859838482168551,0.7759631340001175,0.8100207142167376,X
6030458C11Rik,6.374661825202876,6.755632213868817,-0.3809703886659408,X
6030468B19Rik,0.6158409848036865,0.6056908113761436,0.010150173427542986,X
6330408A02Rik,4.437410143630497,4.126832482109086,0.3105776615214104,X
6430531B16Rik,1.380597776181302,1.0856407789113116,0.29495699726999036,X
6430548M08Rik,8.418008566447533,8.434667240039126,-0.016658673591592787,X
6430550D23Rik,2.74355317133221,2.881791834446503,-0.13823866311429311,X
6430571L13Rik,2.106848642465748,1.8059657416588593,0.30088290080688873,X
6430573F11Rik,2.6689161315839005,1.3869092031999886,1.282006928383912,X
6720489N17Rik,2.6414280006327058,3.2535227755340657,-0.6120947749013599,X
6820408C15Rik,1.7098976650894797,1.3643587778219546,0.34553888726752513,X
7530416G11Rik,1.0100747793252092,0.5250410158458663,0.4850337634793429,X
8030462N17Rik,6.249773193793511,6.196172004846516,0.05360118894699539,X
8430408G22Rik,0.32811013436325526,1.3863006388193575,-1.0581905044561022,X
9030612E09Rik,2.232337105260507,1.3274622727603993,0.9048748325001079,X
9030617O03Rik,2.5639502403226753,3.220333918135927,-0.6563836778132517,X
9030624G23Rik,0.7713974966305024,1.2736853422365193,-0.5022878456060169,X
9030624J02Rik,7.098910717987515,6.9194421855767745,0.17946853241074034,X
9130008F23Rik,0.6585586922907112,0.5378749133103525,0.12068377898035865,X
9130011E15Rik,5.157160597207096,5.438339357244541,-0.28117876003744424,X
9130019O22Rik,2.25770241399089,3.5040795894448036,-1.2463771754539135,X
9130023H24Rik,1.8627241582086833,1.0692189931160112,0.7935051650926721,X
9130213A22Rik,0.0,0.4177575407174123,-0.4177575407174123,X
9130401M01Rik,5.898851739884354,5.960443051744154,-0.06159131185979927,X
9130409I23Rik,0.583440903285039,1.5528498314739825,-0.9694089281889435,X
9230019H11Rik,1.3641259940010642,0.6027750666861276,0.7613509273149366,X
9230104M06Rik,0.30660544903992465,0.1582722654445699,0.14833318359535475,X
9230106D20Rik,0.0,0.32412261415887333,-0.32412261415887333,X
9230110C19Rik,3.9468792768227283,4.676280118607502,-0.7294008417847735,X
9330151L19Rik,5.74587502702153,5.987985497791686,-0.24211047077015646,X
9330159F19Rik,7.826588828779226,7.940454000355761,-0.11386517157653486,X
9330161L09Rik,1.4790877477682183,0.9602013451379827,0.5188864026302356,X
9330182L06Rik,4.766440354783186,4.769981052536084,-0.0035406977528982253,X
9430015G10Rik,5.4474598572221336,5.645395530482769,-0.19793567326063588,X
9430016H08Rik,4.8965088049489305,4.7874526852443555,0.10905611970457496,X
9430020K01Rik,6.050534765265225,5.828783280037837,0.2217514852273883,X
9430038I01Rik,2.8774271632353745,3.0026365423001438,-0.12520937906476926,X
9430076C15Rik,1.9245951086802122,2.6984427511882845,-0.7738476425080723,X
9530053A07Rik,0.7402688787458054,0.16893288033491546,0.5713359984108899,X
9530068E07Rik,7.177916849945457,7.103725577129011,0.07419127281644577,X
9530077C05Rik,4.698295017755978,4.084638672558988,0.6136563451969899,X
9830107B12Rik,0.07301464222405545,0.8614457973431661,-0.7884311551191107,X
9930012K11Rik,0.5567292174428197,0.361831544097517,0.19489767334530267,X
9930021J03Rik,7.288232433572991,7.318805158815375,-0.030572725242384635,X
9930111J21Rik1,2.614568426991201,2.5101216641685666,0.10444676282263421,X
9930111J21Rik2,7.248785317797673,7.226557410074618,0.02222790772305494,X
A130010J15Rik,3.2409816821995503,4.0186604542419255,-0.7776787720423752,X
A130051J06Rik,0.49795232157115105,0.1963862188608396,0.3015661027103115,X
A230046K03Rik,6.774023982753933,6.9571366985671785,-0.1831127158132455,X
A230050P20Rik,7.208466454141737,7.5289349619252155,-0.32046850778347835,X
A2m,2.2209249360181507,1.1531742074020002,1.0677507286161505,X
A330017A19Rik,2.472656975030266,2.178141288622978,0.294515686407288,X
A3galt2,1.5443838135497903,2.489577315757303,-0.9451935022075129,X
A430005L14Rik,4.000978218899333,3.5815991482244303,0.419379070674903,X
A430033K04Rik,5.840046815180192,5.82917566470898,0.010871150471212232,X
A430078G23Rik,4.081617856536695,3.703046240448151,0.3785716160885446,X
A430105I19Rik,5.328393597426107,5.605954607656227,-0.27756101023012025,X
A4galt,1.2645299032343527,0.9188587023900832,0.3456712008442695,X
A530016L24Rik,0.5277151344953357,0.5878065266484648,-0.060091392153129086,X
A530064D06Rik,1.0071270478867336,1.2705371971540182,-0.2634101492672847,X
A530084C06Rik,2.419570494142391,3.1187411278543955,-0.6991706337120047,X
