,R,G,B,hex_val,hls_val
Plekho1,0.9279026263438203,0.4611464321550515,0.8450251594181392,#ed76d7,#ed76d7
Plk2,0.9104556968720118,0.8866904269582997,0.1579455778584212,#e8e228,#e8e228
Plk3,0.762353224048002,0.36586527341553504,0.6706288214928576,#c25dab,#c25dab
Pmm2,0.08910083087364651,0.9110252086110014,0.5048453459122633,#17e881,#17e881
Pnp,0.003463520786868424,0.9377996173060119,0.5860504903941498,#01ef95,#01ef95
Pnpt1,0.9279026263438203,0.46114643215505163,0.8450251594181392,#ed76d7,#ed76d7
Poc5,0.6130916502187119,0.1451767632622734,0.9423389193210564,#9c25f0,#9c25f0
Polr2d,0.6745775055870477,0.26736286512017376,0.9541574909969446,#ac44f3,#ac44f3
Ppat,0.8864549361089648,0.3899757980767645,0.8907358923097399,#e263e3,#e263e3
Ppic,0.2175073235303555,0.14429593894129503,0.18011734298851315,#37252e,#7b5166
Ppm1d,0.9968150846093794,0.8024285047954098,0.30658479697005236,#fecd4e,#fecd4e
Ppp1r15a,0.8310452947517728,0.7990017516817447,0.09440229366233395,#d4cc18,#d4cc18
Ppp2r2a,0.015403305056178544,0.873446562712304,0.49045727671691247,#04df7d,#04df7d
Ppp6c,0.10806148479925501,0.44555793961572865,0.254768517060941,#1c7241,#28a45e
Prep,0.65811616487068,0.1532008069939653,0.9474202933982279,#a827f2,#a827f2
Prickle2,0.20210680181751195,1.0,0.4480636577574965,#34ff72,#34ff72
Prkcb,0.10641568134216615,0.44988313062661406,0.2558706594577417,#1b7341,#27a55e
Prkci,0.3426820544569342,0.2066979931169473,0.07114214004337381,#573512,#a96623
Prkcz,0.5943996379083019,0.12570854872285325,0.9218641655715509,#9820eb,#9820eb
Prmt3,0.28114579063702066,0.4060995545155345,0.6539836897702237,#4868a7,#4868a7
Prnp,0.16712084720804665,0.3246425717377147,0.15128048052278528,#2b5327,#488b41
Prokr2,0.17673485585218898,0.4633068075368359,0.5077620713164323,#2d7681,#358a97
Prom2,0.40883008939425847,0.2737004554533161,0.4043057280497877,#684667,#7a5279
Prpf38b,0.838342282546428,0.3332082442001108,0.9425483992032025,#d655f0,#d655f0
Prr15,0.267757485871806,0.14036523594451458,0.13637746169098855,#442423,#874745
Psmb8,0.8488336137194807,0.7616067362209157,0.06964538775509874,#d8c212,#d8c212
Psmc3,0.9512607104645671,0.8319372360975253,0.15934800574924762,#f3d429,#f3d429
Ptger4,0.015403305056178544,0.873446562712304,0.49045727671691247,#04df7d,#04df7d
Ptgs2,0.19666104444502647,0.9986992773001134,0.4504768275914956,#32ff73,#32ff73
Ptpn22,0.4212398473919773,0.16389089811737542,0.4951236742452207,#6b2a7e,#823399
Pxn,0.2175073235303555,0.14429593894129503,0.18011734298851315,#37252e,#7b5166
Rab11fip2,0.2956792656441465,0.06241670690562681,0.20548860051055612,#4b1034,#a82475
Rab2a,0.006050707044793507,0.9449228897273012,0.6292847426147403,#02f1a0,#02f1a0
Rab39b,0.33114971285128897,0.20224970277499488,0.07191656953148981,#543412,#a86624
Rab3b,0.6702669968105895,0.2646044573418735,0.9569509477573483,#ab43f4,#ab43f4
Raf1,0.03722905084847828,0.930399709539455,0.7162168433484617,#09edb7,#09edb7
