,Arc,Prkcz,Nsf,Fmr1,gene
Cox7a2l,0,21,22,999,Cox7a2l
Cpeb4,991,36,0,1,Cpeb4
Crebzf,0,1,1000,22,Crebzf
Crlf3,0,0,43,979,Crlf3
Csnk1a1,992,35,0,1,Csnk1a1
Ctf1,0,1,1000,22,Ctf1
Ctnnd1,882,6,118,1,Ctnnd1
Cul3,991,36,0,1,Cul3
Cul9,850,173,2,1,Cul9
Cwc25,1000,35,0,1,Cwc25
Cxadr,993,34,0,1,Cxadr
Cyp11a1,116,894,1,20,Cyp11a1
Cyp2t4,0,20,23,999,Cyp2t4
D130040H23Rik,0,0,43,979,D130040H23Rik
Dars,0,1,1000,22,Dars
Dbpht2,995,32,0,1,Dbpht2
Dck,998,33,2,1,Dck
Dcun1d3,769,79,177,0,Dcun1d3
Depdc7,0,1,999,21,Depdc7
Dhrs7,25,988,7,20,Dhrs7
Dhx16,104,707,215,19,Dhx16
Diras1,0,1,999,23,Diras1
Dlk1,319,122,558,0,Dlk1
Dlx5,0,1,1000,22,Dlx5
Dmxl1,0,1,1000,22,Dmxl1
Dnaja1,1000,35,0,1,Dnaja1
Dnaja4,991,34,1,1,Dnaja4
Dnajb1,1000,35,0,1,Dnajb1
Dock7,0,1,1000,22,Dock7
Dpm3,0,1,1000,22,Dpm3
Dpyd,0,20,23,999,Dpyd
Dscc1,319,122,558,0,Dscc1
Dusp10,268,121,609,0,Dusp10
Dusp14,991,36,0,1,Dusp14
Dusp16,1000,35,0,1,Dusp16
Dusp2,0,0,43,979,Dusp2
Dusp4,999,36,0,1,Dusp4
Dusp6,1000,35,0,1,Dusp6
Dusp8,991,36,0,1,Dusp8
Dyrk2,0,20,23,999,Dyrk2
Edar,9,5,984,6,Edar
Egflam,8,16,974,0,Egflam
Egr1,1000,35,0,1,Egr1
Egr2,1000,35,0,1,Egr2
Egr3,1000,35,0,1,Egr3
Egr4,1000,35,0,1,Egr4
Eif1a,1,964,6,45,Eif1a
Eif2b1,0,2,41,981,Eif2b1
Eif2s1,0,211,476,321,Eif2s1
Eif5,1000,35,0,1,Eif5
Elavl1,0,588,409,26,Elavl1
Epc1,0,20,23,999,Epc1
Ephx2,0,20,23,999,Ephx2
Eprs,772,253,1,1,Eprs
Errfi1,1000,35,0,1,Errfi1
Esm1,0,20,23,999,Esm1
Extl1,112,896,2,20,Extl1
F13a1,319,122,558,0,F13a1
Fam118a,893,12,106,1,Fam118a
Fam122a,0,106,6,914,Fam122a
Fam150b,114,894,2,20,Fam150b
Fam174b,0,1,1000,22,Fam174b
Fam189a2,0,0,43,979,Fam189a2
Fam53c,583,19,409,1,Fam53c
Fam57a,1,329,6,686,Fam57a
Fam78a,0,120,0,896,Fam78a
Fbl,1000,35,0,1,Fbl
Fbxl2,692,335,0,1,Fbxl2
Fbxl4,0,21,22,999,Fbxl4
Fbxl6,0,1,998,24,Fbxl6
Fbxo18,0,20,23,999,Fbxo18
Fbxo33,1000,35,0,1,Fbxo33
Fbxo34,991,36,0,1,Fbxo34
Fbxo42,8,5,985,7,Fbxo42
Fbxw7,991,36,0,1,Fbxw7
Fdx1l,488,535,2,9,Fdx1l
Fgf8,9,112,876,6,Fgf8
Fkbp6,9,112,876,6,Fkbp6
Flrt3,991,36,0,1,Flrt3
Fmr1,1,20,22,1000,Fmr1
Fos,1000,35,0,1,Fos
Fosb,1000,35,0,1,Fosb
Fosl2,1000,35,0,1,Fosl2
Foxg1,847,188,0,0,Foxg1
Foxk1,0,9,34,988,Foxk1
Foxo1,764,261,1,9,Foxo1
Frat2,0,2,41,981,Frat2
Frmd6,1000,35,0,1,Frmd6
Fto,22,972,7,20,Fto
Fut7,9,120,868,6,Fut7
Fxyd2,0,1,1000,22,Fxyd2
Fzd4,0,0,43,979,Fzd4
Fzd5,992,35,0,1,Fzd5
Gabra4,0,1,1000,22,Gabra4
Gadd45b,6,120,872,9,Gadd45b
Gadd45g,999,36,0,1,Gadd45g
Gas2,0,1,1000,22,Gas2
Gata3,400,460,168,0,Gata3
Gatad2b,1,567,430,14,Gatad2b
Gch1,24,8,975,1,Gch1
Gcm1,0,1,1000,22,Gcm1
Gcnt2,991,36,0,1,Gcnt2
Gdpd5,0,1,1000,22,Gdpd5
Gemin4,0,654,343,9,Gemin4
Gimap8,0,22,21,998,Gimap8
Gipc3,9,5,984,6,Gipc3
Glce,1,21,21,999,Glce
Glrx3,0,0,43,979,Glrx3
Glt28d2,27,977,2,20,Glt28d2
Glyr1,295,730,1,19,Glyr1
Gm10130,8,112,877,7,Gm10130
Gm10184,319,122,558,0,Gm10184
Gm10250,25,975,4,20,Gm10250
Gm10696,8,112,877,7,Gm10696
Gm13889,1000,35,0,1,Gm13889
Gm14685,991,36,0,1,Gm14685
Gm20425,8,112,877,7,Gm20425
Gm21830,344,683,0,19,Gm21830
Gm28036,0,1,999,23,Gm28036
Gm3854,30,995,2,20,Gm3854
Gm43786,857,151,23,1,Gm43786
Gm45140,80,928,2,20,Gm45140
Gm4847,9,120,868,6,Gm4847
Gm7276,0,108,886,15,Gm7276
Gm7694,993,30,2,1,Gm7694
Gm973,0,962,8,43,Gm973
Gm9925,0,3,40,982,Gm9925
Gmeb2,991,36,0,1,Gmeb2
Gmppb,117,885,31,0,Gmppb
Gnb1l,112,896,2,20,Gnb1l
Gphn,1000,35,0,1,Gphn
Gpr157,58,943,32,0,Gpr157
Gpr19,991,36,0,1,Gpr19
Gpr22,994,33,0,1,Gpr22
Gprc5b,716,140,159,0,Gprc5b
Grasp,318,709,0,0,Grasp
Grb2,0,0,43,979,Grb2
Gria1,0,21,22,999,Gria1
Gria2,1000,35,0,1,Gria2
Grin1,0,116,31,879,Grin1
Gstm2,319,122,558,0,Gstm2
Gstm5,0,1,1000,22,Gstm5
Gstp1,0,0,43,979,Gstp1
Gyg,0,20,23,999,Gyg
H2-DMb1,6,112,879,9,H2-DMb1
H2-Q10,9,935,60,19,H2-Q10
Haghl,0,1,999,21,Haghl
Harbi1,6,956,2,41,Harbi1
Has2,27,977,2,20,Has2
Hexa,13,5,979,1,Hexa
Hilpda,604,419,2,8,Hilpda
Hipk3,0,1,999,23,Hipk3
Hist1h1d,0,1,1000,22,Hist1h1d
Hist1h3i,0,20,23,999,Hist1h3i
Hmgcr,1000,35,0,1,Hmgcr
Hmha1,113,895,2,20,Hmha1
Hnrnpf,991,28,9,1,Hnrnpf
Hnrnpul1,9,112,153,731,Hnrnpul1
Homer1,1000,35,0,1,Homer1
Hpn,994,33,0,1,Hpn
Hpx,8,112,877,7,Hpx
Hras,18,587,408,25,Hras
Hrh2,217,817,1,0,Hrh2
Hrh3,76,12,909,1,Hrh3
Hs6st1,0,32,8,983,Hs6st1
Hspa1a,0,1,42,980,Hspa1a
Hspa1b,0,0,43,979,Hspa1b
Hspb3,0,22,21,998,Hspb3
Hsph1,991,36,0,1,Hsph1
Htr5b,0,1,999,21,Htr5b
Ier3,1000,35,0,1,Ier3
Ifrd1,1000,35,0,1,Ifrd1
Igf2r,150,534,329,19,Igf2r
Ighv5-17,8,112,877,7,Ighv5-17
Ikbip,0,13,984,6,Ikbip
Ikzf1,0,2,998,20,Ikzf1
Il16,346,679,1,17,Il16
Il34,0,21,22,999,Il34
Il3ra,0,0,138,884,Il3ra
Ildr1,319,122,558,0,Ildr1
Ilvbl,0,10,33,989,Ilvbl
Impg2,0,1,993,15,Impg2
Ing2,991,36,0,1,Ing2
Ipmk,779,248,0,1,Ipmk
Iqcg,0,233,764,0,Iqcg
Iqub,0,933,59,20,Iqub
Irf9,115,893,2,20,Irf9
Irs1,991,36,0,1,Irs1
Irs2,999,36,0,1,Irs2
Iscu,0,11,986,8,Iscu
Itga7,116,890,1,23,Itga7
Itgam,0,20,24,998,Itgam
Itgb7,101,905,2,20,Itgb7
Jade3,0,21,22,999,Jade3
Jag1,649,14,0,343,Jag1
Jdp2,6,32,1,978,Jdp2
Jmjd1c,362,7,638,1,Jmjd1c
Jun,1000,35,0,1,Jun
Junb,1000,35,0,1,Junb
Jund,1000,35,0,1,Jund
K230010J24Rik,212,609,176,0,K230010J24Rik
Katnal1,0,940,25,52,Katnal1
Kazn,7,134,31,852,Kazn
Kcna4,993,34,0,1,Kcna4
Kcnj2,1000,35,0,1,Kcnj2
Kcnma1,0,29,11,981,Kcnma1
Kctd12,991,36,0,1,Kctd12
Kctd6,8,118,871,1,Kctd6
Kctd8,0,1,999,21,Kctd8
Kdm6b,1000,35,0,1,Kdm6b
Keap1,0,1,1000,22,Keap1
Khdrbs2,0,12,985,7,Khdrbs2
Klf16,645,382,0,9,Klf16
Klf2,1000,35,0,1,Klf2
Klf8,0,20,23,999,Klf8
Klhdc2,233,120,644,0,Klhdc2
Klhl21,993,34,0,1,Klhl21
Klhl26,9,5,984,6,Klhl26
Knop1,1000,35,0,1,Knop1
Krba1,250,761,0,34,Krba1
Krcc1,2,597,400,20,Krcc1
L3hypdh,1000,35,0,1,L3hypdh
Lat,116,892,2,20,Lat
Lats1,7,5,985,7,Lats1
Lbh,23,6,977,0,Lbh
Lgals1,1,951,28,20,Lgals1
Lgmn,0,1,1000,22,Lgmn
Lif,0,20,23,999,Lif
Lin7c,101,891,16,20,Lin7c
Lmo7,0,1,1000,22,Lmo7
Lonrf1,1000,35,0,1,Lonrf1
Lrrc10b,0,1,1000,22,Lrrc10b
Lrrc48,0,1,1000,22,Lrrc48
Lsm7,0,1,1000,22,Lsm7
Lyrm2,2,934,62,20,Lyrm2
Lysmd3,0,0,43,979,Lysmd3
Lysmd4,0,20,23,999,Lysmd4
M1ap,319,122,558,0,M1ap
Malsu1,9,143,845,0,Malsu1
Maml2,0,14,29,993,Maml2
Mamld1,0,20,23,999,Mamld1
Mapkapk2,41,0,8,960,Mapkapk2
Mapre1,999,36,0,1,Mapre1
March11,991,36,0,1,March11
Mcl1,1000,35,0,1,Mcl1
Mea1,0,7,994,16,Mea1
Mest,996,31,0,1,Mest
Mettl7a1,0,22,21,998,Mettl7a1
Mfap1a,0,21,22,999,Mfap1a
Mfap3l,0,20,23,999,Mfap3l
Mgst3,0,1,1000,22,Mgst3
Minpp1,0,32,965,0,Minpp1
Mis12,0,20,23,999,Mis12
Mkks,0,1,999,21,Mkks
Mmp12,319,122,558,0,Mmp12
Mn1,0,20,23,999,Mn1
Mobp,0,427,566,15,Mobp
Mrpl42,0,9,34,988,Mrpl42
Mrps16,0,1,999,21,Mrps16
Mrps23,0,21,22,999,Mrps23
Mrps26,0,11,986,8,Mrps26
Msmo1,373,218,435,0,Msmo1
Mtch2,1000,35,0,1,Mtch2
Mtrf1,115,893,2,20,Mtrf1
Myd88,0,20,23,999,Myd88
Myeov2,0,1,1000,22,Myeov2
Myl12b,0,20,23,999,Myl12b
Myom1,0,20,23,999,Myom1
Naa30,112,896,2,20,Naa30
Nab2,0,1,1000,22,Nab2
Naf1,461,562,1,21,Naf1
Nap1l5,1000,35,0,1,Nap1l5
Ndnl2,991,36,0,1,Ndnl2
Ndufs4,685,340,1,7,Ndufs4
Ndufs5,0,18,25,997,Ndufs5
Ndufv1,0,1,1000,22,Ndufv1
Necap1,0,0,43,979,Necap1
