"","143B-CA1-1","143C-CA1-1","143D-CA1-3","144A-CA1-2","144B-CA1-1","144C-CA1-2","145A-CA1-2","145B-CA1-1","146A-CA1-2","146B-CA1-2","146C-CA1-4","147C-CA1-3","148A-CA1-3"
"1700019D03Rik",6.95249910868642,6.83186832181757,6.92629450866597,6.97354222237916,6.69462573073495,7.01673100981523,6.96240581415973,6.92683275068942,6.91347642643189,7.26221847367079,6.49579787009552,6.77909591099152,6.91770340621648
"1700020A23Rik",6.49579787009552,6.49579787009552,6.711644289244,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.62265538798179,6.49579787009552
"1700020D05Rik",6.49579787009552,6.64636485111115,6.8689624902286,6.80936835097301,6.49579787009552,6.79764446817141,6.6005669087465,6.49579787009552,6.79165505037597,6.49579787009552,6.49579787009552,6.71538031853513,6.59291658050793
"1700020L24Rik",6.49579787009552,6.75635165385186,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.72986324462177,6.49579787009552,6.83722592006268,6.49579787009552,6.49579787009552,6.62265538798179,6.73346523490415
"1700021F05Rik",7.16122090543933,7.40905175765478,7.23606178770095,7.23558332531509,7.28197519729642,7.27671576778624,7.25007540353852,6.98403215768709,7.43199972185796,6.99388091210328,6.49579787009552,7.01618759754005,7.10559694782805
"1700022I11Rik",6.91887116327371,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552
"1700023F06Rik",7.2804286474351,6.79652377771621,6.92629450866597,6.83438220563227,6.739215199874,6.7094299236442,6.88669703278137,7.01017259266551,6.79165505037597,6.49579787009552,6.49579787009552,6.77909591099152,6.80239490813827
"1700024P16Rik",6.66903227798692,6.79652377771621,6.9766663542447,6.85764183443006,6.63644598465418,6.84412965879224,6.77262671818973,6.49579787009552,6.94668226334423,6.49579787009552,6.49579787009552,6.71538031853513,6.73346523490415
"1700025G04Rik",8.0621565744959,8.23886560218084,7.76831191940589,7.78541775033212,7.68819507163229,8.25328000116464,7.82285080330718,8.07529423368468,8.0747976275263,8.07581355297592,7.73087239230611,7.96945243939746,8.11670254005745
"1700027J19Rik",6.79548982303479,6.79652377771621,6.49579787009552,6.62402240560936,6.49579787009552,6.49579787009552,6.64393114422244,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.63311855883057
"1700028J19Rik",6.49579787009552,6.89308496714019,6.49579787009552,6.78214079532039,6.93899759569089,6.67028076038111,6.49579787009552,6.49579787009552,6.66681042479046,6.94173533926319,6.83527430753766,6.74926852104004,6.78671587573246
"1700028K03Rik",6.49579787009552,6.70863532264925,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.59291658050793
"1700028P14Rik",6.49579787009552,6.79652377771621,6.49579787009552,6.67707516184158,6.49579787009552,6.49579787009552,6.49579787009552,6.8604736196279,6.73750497357525,6.49579787009552,6.49579787009552,6.49579787009552,6.87095018084232
"1700029F12Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.62402240560936,6.86704007313198,6.82173086052929,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.59291658050793
"1700029I15Rik",6.74064158569857,7.01481059294174,6.711644289244,6.83438220563227,6.96044877953878,6.92190198795834,6.92626796549406,6.92683275068942,7.00646579934448,6.8823727777957,6.77319164294349,6.83078640540719,6.75245973893098
"1700029J07Rik",7.09200832156635,6.49579787009552,7.13861070179692,6.85764183443006,6.49579787009552,6.86514808826529,6.79167577377674,6.92683275068942,7.05971763031177,6.49579787009552,6.97479530307644,6.77909591099152,6.63311855883057
"1700029P11Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.71538031853513,6.49579787009552
"1700030J22Rik",6.84164615003661,6.86377922763134,6.8689624902286,6.90008874563059,6.69462573073495,6.98723145933951,6.80955535785129,7.21948148122429,7.00646579934448,7.35025075466717,7.17016206394379,7.20643739302514,7.03351619925822
"1700030K09Rik",7.33317553870346,7.07530218558791,7.6482533561138,7.32542087046674,7.1045846882695,7.12039885557248,6.82645526476283,7.28694085375992,7.19446617395233,7.12398786741141,6.49579787009552,7.17293409599719,6.84517611283095
"1700034I23Rik",6.49579787009552,6.75635165385186,6.49579787009552,6.49579787009552,6.91641800675392,6.61921347796823,6.70519813460495,6.92683275068942,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.59291658050793
"1700034J05Rik",6.84164615003661,6.49579787009552,6.49579787009552,6.49579787009552,6.83963608371709,6.61921347796823,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.67514379042013,6.49579787009552
"1700037C18Rik",6.74064158569857,6.75635165385186,6.49579787009552,6.71774345576474,6.49579787009552,6.79764446817141,6.6005669087465,7.01017259266551,7.00646579934448,6.81174830882594,7.01278328264206,7.03110605627455,6.83153238792302
"1700037H04Rik",7.7421859459184,7.5772393478401,7.84611622015547,7.79100486427948,7.9490046261719,7.71790938740863,7.88925285643364,7.23697422740142,7.97073444019505,7.50117411775604,7.78487022106235,7.67336908011815,7.75504688866213
"1700040L02Rik",6.74064158569857,6.70863532264925,6.49579787009552,6.67707516184158,6.49579787009552,6.7094299236442,6.49579787009552,6.49579787009552,6.49579787009552,6.7194313294023,6.69209571606559,6.71538031853513,6.66394898010923
"1700047I17Rik2",7.06695926030026,7.36111593249244,6.49579787009552,7.15650246590364,7.26988454121065,7.31297916916341,6.92626796549406,6.49579787009552,7.17398695114871,7.68772584653197,6.49579787009552,7.14957284415071,7.05038671795898
"1700048O20Rik",6.49579787009552,6.94587644181436,7.02208175859265,7.06571128455751,6.86704007313198,6.92190198795834,6.91350558193293,6.95635121349274,6.91347642643189,6.7194313294023,6.887492320083,6.87539708923679,6.68992548142026
"1700057G04Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.66681042479046,6.49579787009552,6.49579787009552,6.49579787009552,6.71279829726293
"1700061G19Rik",6.66903227798692,6.49579787009552,7.10239512736421,6.62402240560936,6.49579787009552,6.49579787009552,6.90032923240948,7.23697422740142,6.66681042479046,6.49579787009552,6.887492320083,6.49579787009552,6.59291658050793
"1700066B19Rik",6.49579787009552,6.64636485111115,6.49579787009552,6.67707516184158,6.49579787009552,6.61921347796823,6.49579787009552,6.8950690828684,6.79165505037597,6.49579787009552,6.83527430753766,6.67514379042013,6.63311855883057
"1700066M21Rik",7.72060569262521,7.65080766723223,7.55227238639945,7.36207748712787,7.59467174819097,7.79272931018557,7.37736229328926,7.77212675460744,7.74799286856356,7.74259723325667,7.82358214331256,7.59011080219443,7.72480879493116
"1700067K01Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.7094299236442,6.64393114422244,7.03499686987992,6.73750497357525,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552
"1700088E04Rik",7.26195625087524,6.49579787009552,6.9766663542447,6.67707516184158,6.739215199874,7.05796827245863,6.67718355477534,6.49579787009552,6.83722592006268,6.8823727777957,6.69209571606559,6.83078640540719,6.66394898010923
"1700093K21Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.67028076038111,6.49579787009552,6.49579787009552,6.79165505037597,6.81174830882594,6.49579787009552,6.49579787009552,6.68992548142026
"1700102P08Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.62402240560936,6.49579787009552,6.61921347796823,6.49579787009552,6.49579787009552,6.66681042479046,6.94173533926319,6.49579787009552,6.67514379042013,6.81729934708878
"1700109H08Rik",6.49579787009552,6.83186832181757,7.02208175859265,6.49579787009552,6.91641800675392,6.7094299236442,6.72986324462177,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.77909591099152,6.49579787009552
"1700112E06Rik",6.49579787009552,6.79652377771621,6.49579787009552,6.62402240560936,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.83078640540719,6.49579787009552
"1700113H08Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.62402240560936,6.63644598465418,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552
"1700123L14Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.74240401765161,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.67514379042013,6.49579787009552
"1700123O20Rik",7.55438831188074,7.1796747796,7.26560430960126,7.35307682067832,7.28197519729642,7.26735690024619,7.22166197577731,6.8950690828684,7.27059012973486,7.12398786741141,6.97479530307644,7.3260423908396,7.23994157400463
"1700125H20Rik",6.49579787009552,6.49579787009552,7.02208175859265,6.62402240560936,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552
"1700128F08Rik",7.04069771613907,7.07530218558791,7.62982908444718,7.14435747025963,7.23230848989007,7.33905196101669,7.04694764863815,7.08135893754711,7.17398695114871,7.35025075466717,7.24809057734353,7.13755106254116,7.26963190144504
"1810009A15Rik",7.06695926030026,7.14686318003137,6.49579787009552,7.26680597938155,6.96044877953878,7.17681591174416,7.18435590081944,7.14441141520542,7.15282189823026,7.0839867615759,6.49579787009552,6.83078640540719,6.93918867259013
"1810010H24Rik",7.01303867355915,7.01481059294174,6.711644289244,7.03681195359619,6.49579787009552,7.00220483004755,6.88669703278137,6.49579787009552,6.94668226334423,6.8823727777957,6.887492320083,6.80603607174628,6.73346523490415
"1810011H11Rik",6.49579787009552,6.75635165385186,6.49579787009552,6.49579787009552,6.49579787009552,6.61921347796823,6.49579787009552,6.49579787009552,6.66681042479046,6.49579787009552,6.77319164294349,6.62265538798179,6.49579787009552
"1810011O10Rik",6.66903227798692,6.64636485111115,6.49579787009552,6.49579787009552,6.49579787009552,6.7094299236442,6.49579787009552,6.49579787009552,6.79165505037597,6.49579787009552,6.69209571606559,6.67514379042013,6.49579787009552
"1810013L24Rik",7.77371489683589,8.04297546446205,7.46738814942874,7.82929392381541,7.93151764133094,7.97242475652781,7.88925285643364,8.04701517759728,7.8465372998153,8.36461274014738,7.88509254333539,8.03230368031317,8.07062210876144
"1810022K09Rik",7.38247012791063,7.01481059294174,7.62982908444718,7.48620788704482,7.42359666969736,7.1084502597096,7.24308206294605,7.10314809346252,7.43199972185796,7.04088633839331,6.69209571606559,7.12528449229229,7.20251909217101
"1810024B03Rik",6.49579787009552,6.64636485111115,6.49579787009552,6.49579787009552,6.49579787009552,6.74240401765161,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.69209571606559,6.62265538798179,6.49579787009552
"1810026J23Rik",8.07006647705907,8.3753815690633,8.02539518366813,8.28200775350956,8.11535093450728,8.15708011750379,8.15346666823753,8.03260899265836,8.14888327881093,8.12699281658561,8.14979508134488,8.08770516642648,8.17242530841611
"1810030O07Rik",7.41369397938976,7.48669784188938,7.48939808881358,7.49386137726602,7.45297029899057,7.4353696739208,7.46601746793121,7.75350977121847,7.30574669603816,7.58875989074768,7.27219224182236,7.74434616677661,7.3925194361322
"1810032O08Rik",6.88223822446972,6.89308496714019,6.711644289244,7.06571128455751,6.49579787009552,6.86514808826529,6.49579787009552,6.49579787009552,6.97753645913112,6.94173533926319,7.08112301039451,7.00080912344174,6.89502912928326
"1810037I17Rik",7.33317553870346,7.29667096706851,7.59186399639082,7.5089683704827,7.33958767138388,7.33905196101669,7.48677861273963,6.95635121349274,7.59134555491809,7.72464090624363,6.77319164294349,7.33516930596467,7.18298055363436
"1810041L15Rik",7.04069771613907,7.44321830213742,7.13861070179692,7.36207748712787,7.36144860247552,7.63699241760143,7.37148333268738,7.36326646610812,7.03378122631602,7.37744436092443,7.42195021061599,7.33516930596467,7.49451793233493
"1810043G02Rik",7.59255792267421,7.51791850500525,7.55227238639945,7.65394533197254,7.83316830393242,7.34754644052019,7.56520702622874,7.56790036965844,7.80823626086377,7.23029084969693,7.56494724635854,7.51328678130522,7.5075199079937
