,R,G,B,hex_val,hls_val,method2_R,method2_G,method2_B,L1_M2,gene
Ppm1d,0.26575498225501754,0.23763304127152815,0.9844115720728864,#443dfb,#443dfb,0.2538307186882467,0.22697059200246453,0.9402416267195678,B,Ppm1d
Snx4,0.26987128790081216,0.23871524236492894,0.9947564107576322,#453dfe,#453dfe,0.25507776645170926,0.22562960037010024,0.9402268962855913,B,Snx4
Slc25a25,0.26987128790081216,0.23871524236492894,0.9947564107576322,#453dfe,#453dfe,0.25507776645170926,0.22562960037010024,0.9402268962855913,B,Slc25a25
Rnpc3,0.26987128790081216,0.23871524236492894,0.9947564107576319,#453dfe,#453dfe,0.2550777664517093,0.2256296003701003,0.9402268962855912,B,Rnpc3
Pld6,0.2700954581922983,0.23856745152632347,0.9939928037193227,#453dfd,#453dfd,0.25545722872986576,0.2256379297895168,0.9401218691903503,B,Pld6
Lsm7,0.2700954581922983,0.23856745152632347,0.9939928037193226,#453dfd,#453dfd,0.25545722872986576,0.2256379297895168,0.9401218691903502,B,Lsm7
B430203G13Rik,0.27009545819229835,0.23856745152632364,0.9939928037193223,#453dfd,#453dfd,0.2554572287298659,0.22563792978951708,0.9401218691903502,B,B430203G13Rik
Gphn,0.2700954581922983,0.23856745152632353,0.9939928037193226,#453dfd,#453dfd,0.25545722872986576,0.22563792978951686,0.9401218691903502,B,Gphn
Suv39h1,0.2700954581922983,0.23856745152632353,0.9939928037193226,#453dfd,#453dfd,0.25545722872986576,0.22563792978951686,0.9401218691903502,B,Suv39h1
Prmt3,0.2667222557176273,0.2401489753483198,0.9887883561987187,#443dfc,#443dfc,0.2535599517167882,0.22829801896479632,0.9399932794558319,B,Prmt3
Zfp994,0.2667222557176273,0.24014897534831983,0.9887883561987185,#443dfc,#443dfc,0.2535599517167882,0.22829801896479635,0.9399932794558317,B,Zfp994
Zfp276,0.26603302355733205,0.23801297718337855,0.9832077704337788,#443dfb,#443dfb,0.25433306238519043,0.22754531961863558,0.9399669254273918,B,Zfp276
Arntl,0.2669527431961001,0.23804698215065037,0.9837573435363266,#443dfb,#443dfb,0.2550274005071059,0.22741292083987355,0.93981082587171,B,Arntl
Gm9925,0.2707100416233607,0.2395331033929038,0.9934817763026801,#453dfd,#453dfd,0.25606388564308424,0.22657370530890814,0.9397316864573407,B,Gm9925
Cdv3,0.27094350960615343,0.2397023651368706,0.9928244042765848,#453dfd,#453dfd,0.2564107219988812,0.22684528077061772,0.9395715833485557,B,Cdv3
Gprc5b,0.27094350960615343,0.2397023651368706,0.9928244042765848,#453dfd,#453dfd,0.2564107219988812,0.22684528077061772,0.9395715833485557,B,Gprc5b
Stard3nl,0.27094350960615343,0.2397023651368706,0.9928244042765848,#453dfd,#453dfd,0.2564107219988812,0.22684528077061772,0.9395715833485557,B,Stard3nl
Kazn,0.27094350960615343,0.2397023651368706,0.9928244042765848,#453dfd,#453dfd,0.2564107219988812,0.22684528077061772,0.9395715833485557,B,Kazn
Ier3,0.272330833038645,0.2275826290707776,0.9730744976994523,#453af8,#453af8,0.2629244490197847,0.21972186067677865,0.9394642292543005,B,Ier3
Spata2l,0.2723308330386451,0.22758262907077761,0.9730744976994523,#453af8,#453af8,0.26292444901978473,0.21972186067677868,0.9394642292543005,B,Spata2l
