,Arc,Prkcz,Nsf,Fmr1,gene
Cpeb4,0,0,0,0,Cpeb4
Crebzf,0,0,0,0,Crebzf
Crlf3,976,178,877,967,Crlf3
Csnk1a1,0,0,0,0,Csnk1a1
Ctf1,116,846,230,121,Ctf1
Ctnnd1,0,0,0,0,Ctnnd1
Cul3,0,0,0,0,Cul3
Cul9,0,0,0,0,Cul9
Cwc25,0,0,0,0,Cwc25
Cxadr,0,0,0,0,Cxadr
Cyp11a1,538,489,486,580,Cyp11a1
Cyp2t4,890,256,955,877,Cyp2t4
D130040H23Rik,948,156,847,960,D130040H23Rik
Dars,685,411,718,655,Dars
Dbpht2,0,0,0,0,Dbpht2
Dck,894,228,919,895,Dck
Dcun1d3,0,0,0,0,Dcun1d3
Depdc7,154,877,266,151,Depdc7
Dhrs7,841,277,730,811,Dhrs7
Dhx16,74,789,94,87,Dhx16
Diras1,376,52,332,366,Diras1
Dlk1,0,0,0,0,Dlk1
Dlx5,54,859,181,67,Dlx5
Dmxl1,494,489,455,534,Dmxl1
Dnaja1,0,0,0,0,Dnaja1
Dnaja4,0,0,0,0,Dnaja4
Dnajb1,0,0,0,0,Dnajb1
Dock7,940,190,883,904,Dock7
Dpm3,174,888,291,172,Dpm3
Dpyd,681,469,800,668,Dpyd
Dscc1,2,0,0,1,Dscc1
Dusp10,868,292,987,855,Dusp10
Dusp14,907,150,831,923,Dusp14
Dusp16,0,0,0,0,Dusp16
Dusp2,116,766,67,115,Dusp2
Dusp4,0,0,0,0,Dusp4
Dusp6,0,0,0,0,Dusp6
Dusp8,0,0,0,0,Dusp8
Dyrk2,996,162,857,953,Dyrk2
Edar,0,0,0,0,Edar
Egflam,226,832,313,220,Egflam
Egr1,0,0,0,0,Egr1
Egr2,738,232,746,742,Egr2
Egr3,0,0,0,0,Egr3
Egr4,0,0,0,0,Egr4
Eif1a,664,490,787,653,Eif1a
Eif2b1,898,262,961,885,Eif2b1
Eif2s1,763,270,665,777,Eif2s1
Eif5,0,0,0,0,Eif5
Elavl1,742,330,759,717,Elavl1
Epc1,930,165,856,943,Epc1
Ephx2,736,230,672,753,Ephx2
Eprs,0,0,0,0,Eprs
Errfi1,0,0,0,0,Errfi1
Esm1,986,172,871,971,Esm1
Extl1,70,798,149,91,Extl1
F13a1,1,0,0,0,F13a1
Fam118a,0,0,0,0,Fam118a
Fam122a,620,537,728,613,Fam122a
Fam150b,171,885,286,163,Fam150b
Fam174b,985,171,870,972,Fam174b
Fam189a2,983,171,868,972,Fam189a2
Fam53c,0,0,0,0,Fam53c
Fam57a,691,169,723,677,Fam57a
Fam78a,140,880,261,138,Fam78a
Fbl,0,0,0,0,Fbl
Fbxl2,401,127,401,394,Fbxl2
Fbxl4,900,260,959,887,Fbxl4
Fbxl6,990,170,869,967,Fbxl6
Fbxo18,893,267,966,880,Fbxo18
Fbxo33,0,0,0,0,Fbxo33
Fbxo34,0,0,0,0,Fbxo34
Fbxo42,866,235,751,835,Fbxo42
Fbxw7,0,0,0,0,Fbxw7
Fdx1l,73,224,102,76,Fdx1l
Fgf8,175,777,268,202,Fgf8
Fkbp6,0,0,0,0,Fkbp6
Flrt3,0,0,0,0,Flrt3
Fmr1,957,173,846,1000,Fmr1
Fos,0,0,0,0,Fos
Fosb,0,0,0,0,Fosb
Fosl2,0,0,0,0,Fosl2
Foxg1,995,161,858,954,Foxg1
