,Arc,Prkcz,Nsf,Fmr1,gene
Zc3h6,94,324,1,697,Zc3h6
Zdbf2,889,17,148,64,Zdbf2
Zdhhc2,0,114,605,0,Zdhhc2
Zfand5,16,897,1,103,Zfand5
Zfp207,116,234,1,734,Zfp207
Zfp24,31,896,3,30,Zfp24
Zfp26,101,4,547,326,Zfp26
Zfp276,1,289,18,47,Zfp276
Zfp281,26,81,135,64,Zfp281
Zfp385b,30,968,31,23,Zfp385b
Zfp52,0,114,605,0,Zfp52
Zfp553,1,189,58,52,Zfp553
Zfp59,887,18,149,62,Zfp59
Zfp654,0,116,603,0,Zfp654
Zfp655,0,114,605,0,Zfp655
Zfp668,1,111,607,1,Zfp668
Zfp799,101,4,547,326,Zfp799
Zfp804b,0,1,0,0,Zfp804b
Zfp869,46,887,10,87,Zfp869
Zfp87,0,110,615,0,Zfp87
Zfp937,168,37,1,982,Zfp937
Zfp950,0,114,605,0,Zfp950
Zfp994,0,291,23,40,Zfp994
Zkscan8,2,338,14,22,Zkscan8
Zmym2,5,114,570,61,Zmym2
Zranb1,0,116,603,0,Zranb1
Zscan2,116,217,1,746,Zscan2
