,row,column,value
132,Grin1,Nsf,-0.3356217889900675
133,Gria1,Nsf,0.8520393247845743
134,Gria2,Nsf,-0.11988314157999622
135,Pick1,Nsf,-0.6256873436348398
136,Nsf,Nsf,1.0
137,Numb,Nsf,-0.12980379615007667
138,Fmr1,Nsf,-0.3581983959225917
139,Camk2a,Nsf,0.2847041566230934
140,Wwc1,Nsf,-0.30597655144044567
141,Prkcb,Nsf,0.5515032334367401
142,Prkcz,Nsf,-0.7801812630795412
143,Prkci,Nsf,0.05960815253118239
144,Fos,Numb,-0.6205146545233394
145,Fosl2,Numb,-0.5115729082264442
146,Npas4,Numb,-0.5232658131332975
147,Arc,Numb,-0.720217934107786
148,Grin1,Numb,0.3247333588716969
149,Gria1,Numb,0.07896437150751477
150,Gria2,Numb,0.7565931484665825
151,Pick1,Numb,-0.26327951668659266
152,Nsf,Numb,-0.12980379615007667
153,Numb,Numb,1.0
154,Fmr1,Numb,0.3363310284931096
155,Camk2a,Numb,0.3040034168039585
156,Wwc1,Numb,-0.04753106815087068
157,Prkcb,Numb,0.3221247102292284
158,Prkcz,Numb,0.3562056994980181
159,Prkci,Numb,0.2291439914571081
160,Fos,Fmr1,0.15165324220653636
161,Fosl2,Fmr1,0.4977108806317222
162,Npas4,Fmr1,0.34650410992505487
163,Arc,Fmr1,0.2639409342799722
164,Grin1,Fmr1,0.0966027586788237
165,Gria1,Fmr1,-0.08839893063567555
166,Gria2,Fmr1,0.26594287115752735
167,Pick1,Fmr1,0.07181435331210421
168,Nsf,Fmr1,-0.3581983959225917
169,Numb,Fmr1,0.3363310284931096
170,Fmr1,Fmr1,1.0
171,Camk2a,Fmr1,0.4646633866606013
172,Wwc1,Fmr1,0.8952105643753876
173,Prkcb,Fmr1,0.3331240150460994
174,Prkcz,Fmr1,0.3535664512119419
175,Prkci,Fmr1,0.19900705427174523
176,Fos,Camk2a,-0.15586274307590714
177,Fosl2,Camk2a,0.11257802818133267
178,Npas4,Camk2a,0.2923579122372947
179,Arc,Camk2a,0.26530011015156446
180,Grin1,Camk2a,-0.41937762435465625
181,Gria1,Camk2a,0.19821066405220927
182,Gria2,Camk2a,-0.22724928122684415
183,Pick1,Camk2a,-0.38713612584378726
184,Nsf,Camk2a,0.2847041566230934
185,Numb,Camk2a,0.3040034168039585
186,Fmr1,Camk2a,0.4646633866606013
187,Camk2a,Camk2a,1.0
188,Wwc1,Camk2a,0.35410153835244335
189,Prkcb,Camk2a,0.8822247999307722
190,Prkcz,Camk2a,0.11360251700432712
191,Prkci,Camk2a,0.14624735495297142
192,Fos,Wwc1,0.2773614508277828
193,Fosl2,Wwc1,0.744845086688082
194,Npas4,Wwc1,0.598951874189826
195,Arc,Wwc1,0.5065819767549439
196,Grin1,Wwc1,-0.016910929227011453
197,Gria1,Wwc1,-0.14899207587792454
198,Gria2,Wwc1,-0.05162902472516494
199,Pick1,Wwc1,0.19124346924106897
200,Nsf,Wwc1,-0.30597655144044567
201,Numb,Wwc1,-0.04753106815087068
202,Fmr1,Wwc1,0.8952105643753876
203,Camk2a,Wwc1,0.35410153835244335
204,Wwc1,Wwc1,1.0
205,Prkcb,Wwc1,0.2423200593589772
206,Prkcz,Wwc1,0.3082926696826768
207,Prkci,Wwc1,0.2653653668347261
208,Fos,Prkcb,-0.2769017402688951
209,Fosl2,Prkcb,0.02893838049150471
210,Npas4,Prkcb,0.16977194544396082
211,Arc,Prkcb,0.1666107446851805
212,Grin1,Prkcb,-0.4769154871285643
213,Gria1,Prkcb,0.39134126737085234
214,Gria2,Prkcb,-0.08343942986308571
215,Pick1,Prkcb,-0.6983102022011042
216,Nsf,Prkcb,0.5515032334367401
217,Numb,Prkcb,0.3221247102292284
218,Fmr1,Prkcb,0.3331240150460994
219,Camk2a,Prkcb,0.8822247999307722
220,Wwc1,Prkcb,0.2423200593589772
221,Prkcb,Prkcb,1.0
222,Prkcz,Prkcb,-0.07718829264311469
223,Prkci,Prkcb,0.4550635523983865
224,Fos,Prkcz,-0.38654382647753466
225,Fosl2,Prkcz,-0.15183467916528187
226,Npas4,Prkcz,-0.3666319652870241
227,Arc,Prkcz,-0.4033459718565113
228,Grin1,Prkcz,0.017905691819730726
229,Gria1,Prkcz,-0.8207684800804135
230,Gria2,Prkcz,-0.006980109501452433
231,Pick1,Prkcz,0.37362145650221223
232,Nsf,Prkcz,-0.7801812630795412
233,Numb,Prkcz,0.3562056994980181
234,Fmr1,Prkcz,0.3535664512119419
235,Camk2a,Prkcz,0.11360251700432712
236,Wwc1,Prkcz,0.3082926696826768
237,Prkcb,Prkcz,-0.07718829264311469
238,Prkcz,Prkcz,1.0
239,Prkci,Prkcz,0.35599217322821936
240,Fos,Prkci,-0.532497756797688
241,Fosl2,Prkci,-0.0987591367532805
242,Npas4,Prkci,-0.25136488517565914
243,Arc,Prkci,-0.25195335429584487
244,Grin1,Prkci,-0.20525573732122074
245,Gria1,Prkci,-0.18143946473530412
246,Gria2,Prkci,0.10965549637084081
247,Pick1,Prkci,-0.48398023869795154
248,Nsf,Prkci,0.05960815253118239
249,Numb,Prkci,0.2291439914571081
250,Fmr1,Prkci,0.19900705427174523
251,Camk2a,Prkci,0.14624735495297142
252,Wwc1,Prkci,0.2653653668347261
253,Prkcb,Prkci,0.4550635523983865
254,Prkcz,Prkci,0.35599217322821936
255,Prkci,Prkci,1.0
